epoch,batch,n_batches,running_loss
7,2800,3717,0.282681
7,2900,3717,0.282550
7,3000,3717,0.282516
7,3100,3717,0.282435
7,3200,3717,0.282460
7,3300,3717,0.282356
7,3400,3717,0.282271
7,3500,3717,0.282250
7,3600,3717,0.282239
7,3700,3717,0.282163
8,100,3717,0.277449
8,200,3717,0.276898
8,300,3717,0.276954
8,400,3717,0.275553
8,500,3717,0.276761
8,600,3717,0.277196
8,700,3717,0.277135
8,800,3717,0.276663
8,900,3717,0.276537
8,1000,3717,0.276431
8,1100,3717,0.276522
8,1200,3717,0.276665
8,1300,3717,0.276621
8,1400,3717,0.276582
8,1500,3717,0.276517
8,1600,3717,0.276080
8,1700,3717,0.276211
8,1800,3717,0.276158
8,1900,3717,0.275870
8,2000,3717,0.275778
8,2100,3717,0.275782
8,2200,3717,0.275594
8,2300,3717,0.275555
8,2400,3717,0.275465
8,2500,3717,0.275479
8,2600,3717,0.275536
8,2700,3717,0.275731
8,2800,3717,0.275781
8,2900,3717,0.275712
8,3000,3717,0.275807
8,3100,3717,0.275891
8,3200,3717,0.275905
8,3300,3717,0.275879
8,3400,3717,0.275880
8,3500,3717,0.275998
8,3600,3717,0.275841
8,3700,3717,0.275774
9,100,3717,0.272364
9,200,3717,0.271933
9,300,3717,0.272382
9,400,3717,0.272003
9,500,3717,0.271106
9,600,3717,0.271940
9,700,3717,0.271807
9,800,3717,0.271830
9,900,3717,0.271624
9,1000,3717,0.271909
9,1100,3717,0.272143
9,1200,3717,0.272302
9,1300,3717,0.272494
9,1400,3717,0.272285
9,1500,3717,0.272205
9,1600,3717,0.272092
9,1700,3717,0.272181
9,1800,3717,0.272186
9,1900,3717,0.272352
9,2000,3717,0.272182
9,2100,3717,0.272115
9,2200,3717,0.272068
9,2300,3717,0.272036
9,2400,3717,0.272068
9,2500,3717,0.272149
9,2600,3717,0.272036
9,2700,3717,0.272120
9,2800,3717,0.272119
9,2900,3717,0.272017
9,3000,3717,0.271710
9,3100,3717,0.271690
9,3200,3717,0.271732
9,3300,3717,0.271610
9,3400,3717,0.271713
9,3500,3717,0.271666
9,3600,3717,0.271675
9,3700,3717,0.271653
10,100,3717,0.258945
10,200,3717,0.260597
10,300,3717,0.261322
10,400,3717,0.263291
10,500,3717,0.263664
10,600,3717,0.264099
10,700,3717,0.263442
10,800,3717,0.263323
10,900,3717,0.263971
10,1000,3717,0.263947
10,1100,3717,0.264160
10,1200,3717,0.264155
10,1300,3717,0.264283
10,1400,3717,0.264061
10,1500,3717,0.264066
10,1600,3717,0.263795
10,1700,3717,0.263796
10,1800,3717,0.264131
10,1900,3717,0.264314
10,2000,3717,0.264368
10,2100,3717,0.264865
10,2200,3717,0.265076
10,2300,3717,0.264773
10,2400,3717,0.264779
10,2500,3717,0.265058
10,2600,3717,0.265244
10,2700,3717,0.265273
10,2800,3717,0.265316
10,2900,3717,0.265162
10,3000,3717,0.265391
10,3100,3717,0.265482
10,3200,3717,0.265496
10,3300,3717,0.265595
10,3400,3717,0.265452
10,3500,3717,0.265570
10,3600,3717,0.265653
10,3700,3717,0.265709
11,100,3717,0.268068
11,200,3717,0.267739
11,300,3717,0.264476
11,400,3717,0.263533
11,500,3717,0.262981
11,600,3717,0.262988
11,700,3717,0.262537
11,800,3717,0.262891
11,900,3717,0.261673
11,1000,3717,0.261340
11,1100,3717,0.261588
11,1200,3717,0.261442
11,1300,3717,0.261349
11,1400,3717,0.261540
11,1500,3717,0.261480
11,1600,3717,0.261128
11,1700,3717,0.261277
11,1800,3717,0.261144
11,1900,3717,0.261030
11,2000,3717,0.260925
11,2100,3717,0.260790
11,2200,3717,0.260663
11,2300,3717,0.260794
11,2400,3717,0.260707
11,2500,3717,0.260740
11,2600,3717,0.260566
11,2700,3717,0.260624
11,2800,3717,0.260684
11,2900,3717,0.260867
11,3000,3717,0.260616
11,3100,3717,0.260586
11,3200,3717,0.260556
11,3300,3717,0.260682
11,3400,3717,0.260657
11,3500,3717,0.260696
11,3600,3717,0.260845
11,3700,3717,0.260972
12,100,3717,0.256727
12,200,3717,0.255109
12,300,3717,0.256197
12,400,3717,0.254247
12,500,3717,0.254708
12,600,3717,0.255170
12,700,3717,0.256369
12,800,3717,0.256295
12,900,3717,0.256160
12,1000,3717,0.257113
12,1100,3717,0.257800
12,1200,3717,0.257961
12,1300,3717,0.257928
12,1400,3717,0.257752
12,1500,3717,0.257700
12,1600,3717,0.257415
12,1700,3717,0.256918
12,1800,3717,0.257006
12,1900,3717,0.256871
12,2000,3717,0.256797
12,2100,3717,0.256836
12,2200,3717,0.256859
12,2300,3717,0.256957
12,2400,3717,0.256894
12,2500,3717,0.256969
12,2600,3717,0.257009
12,2700,3717,0.257224
12,2800,3717,0.257244
12,2900,3717,0.257222
12,3000,3717,0.257218
12,3100,3717,0.257269
12,3200,3717,0.257259
12,3300,3717,0.257364
12,3400,3717,0.257292
12,3500,3717,0.257475
12,3600,3717,0.257538
12,3700,3717,0.257578
13,100,3717,0.248637
13,200,3717,0.249828
13,300,3717,0.249226
13,400,3717,0.249614
13,500,3717,0.250249
13,600,3717,0.249294
13,700,3717,0.249759
13,800,3717,0.250585
13,900,3717,0.250293
13,1000,3717,0.250301
13,1100,3717,0.250240
13,1200,3717,0.250457
13,1300,3717,0.250440
13,1400,3717,0.250675
13,1500,3717,0.250463
13,1600,3717,0.250495
13,1700,3717,0.250506
13,1800,3717,0.250343
13,1900,3717,0.250071
13,2000,3717,0.250143
13,2100,3717,0.250302
13,2200,3717,0.250428
13,2300,3717,0.250502
13,2400,3717,0.250741
13,2500,3717,0.250903
13,2600,3717,0.250865
13,2700,3717,0.250965
13,2800,3717,0.251053
13,2900,3717,0.251240
13,3000,3717,0.251403
13,3100,3717,0.251369
13,3200,3717,0.251467
13,3300,3717,0.251424
13,3400,3717,0.251445
13,3500,3717,0.251480
13,3600,3717,0.251379
13,3700,3717,0.251458
14,100,3717,0.252757
14,200,3717,0.252343
14,300,3717,0.249592
14,400,3717,0.249910
14,500,3717,0.249940
14,600,3717,0.250509
14,700,3717,0.250900
14,800,3717,0.250679
14,900,3717,0.250063
14,1000,3717,0.249852
14,1100,3717,0.249192
14,1200,3717,0.249038
14,1300,3717,0.249117
14,1400,3717,0.249041
14,1500,3717,0.249085
14,1600,3717,0.249074
14,1700,3717,0.248975
14,1800,3717,0.249023
14,1900,3717,0.248892
14,2000,3717,0.249297
14,2100,3717,0.249229
14,2200,3717,0.249246
14,2300,3717,0.249086
14,2400,3717,0.249199
14,2500,3717,0.249194
14,2600,3717,0.249128
14,2700,3717,0.249088
14,2800,3717,0.249195
14,2900,3717,0.249268
14,3000,3717,0.249361
14,3100,3717,0.249466
14,3200,3717,0.249442
14,3300,3717,0.249620
14,3400,3717,0.249429
14,3500,3717,0.249607
14,3600,3717,0.249524
14,3700,3717,0.249489
15,100,3717,0.241217
15,200,3717,0.240919
15,300,3717,0.240368
15,400,3717,0.239708
15,500,3717,0.240390
15,600,3717,0.240492
15,700,3717,0.241561
15,800,3717,0.241613
15,900,3717,0.241620
15,1000,3717,0.241763
15,1100,3717,0.241663
15,1200,3717,0.242012
15,1300,3717,0.242410
15,1400,3717,0.242944
15,1500,3717,0.243089
15,1600,3717,0.243087
15,1700,3717,0.242973
15,1800,3717,0.243166
