epoch,train_loss,val_loss,train_f1,val_f1,train_acc,val_acc,val_prec,val_rec,epoch_time_s
1,10.134752,0.36246,0.112657,0.055602,0.739912,0.851193,0.181556,0.034855,253.05
2,5.60218,0.267108,0.192658,0.207037,0.874463,0.884246,0.386551,0.175563,246.96
3,4.930656,0.256981,0.251617,0.280657,0.887621,0.88993,0.459222,0.234718,249.65
