epoch,train_loss,val_loss,train_f1,val_f1,train_acc,val_acc,val_prec,val_rec,epoch_time_s
1,0.599675,0.370603,0.125625,0.047302,0.729738,0.847754,0.142404,0.035239,12.59
2,0.403308,0.294688,0.145316,0.221239,0.870915,0.879719,0.405368,0.182763,12.12
3,0.378283,0.27407,0.234537,0.221758,0.889251,0.886351,0.416808,0.176806,11.94
4,0.371023,0.273915,0.259013,0.260284,0.891529,0.887509,0.406819,0.218908,11.63
