epoch,batch,n_batches,running_loss,batch_loss,lr
1,50,7434,0.683677,0.504990,0.00001000
1,100,7434,0.561941,0.430987,0.00001000
1,150,7434,0.514047,0.431234,0.00001000
1,200,7434,0.487810,0.393649,0.00001000
1,250,7434,0.470709,0.418652,0.00001000
1,300,7434,0.458634,0.376172,0.00001000
1,350,7434,0.450132,0.393302,0.00001000
1,400,7434,0.443085,0.368261,0.00001000
1,450,7434,0.436903,0.371490,0.00001000
1,500,7434,0.432282,0.401380,0.00001000
1,550,7434,0.427904,0.383982,0.00001000
1,600,7434,0.424446,0.365766,0.00001000
1,650,7434,0.421464,0.405045,0.00001000
1,700,7434,0.418759,0.378302,0.00001000
1,750,7434,0.416172,0.379183,0.00001000
1,800,7434,0.414163,0.420046,0.00001000
1,850,7434,0.412316,0.379035,0.00001000
1,900,7434,0.410318,0.427345,0.00001000
1,950,7434,0.408716,0.401805,0.00001000
1,1000,7434,0.407321,0.374769,0.00001000
1,1050,7434,0.406074,0.350885,0.00001000
1,1100,7434,0.404654,0.354128,0.00001000
1,1150,7434,0.403139,0.373521,0.00001000
1,1200,7434,0.401929,0.390226,0.00001000
1,1250,7434,0.400824,0.388106,0.00001000
1,1300,7434,0.399543,0.350476,0.00001000
1,1350,7434,0.398437,0.345394,0.00001000
1,1400,7434,0.397557,0.379416,0.00001000
1,1450,7434,0.396877,0.394854,0.00001000
1,1500,7434,0.396003,0.344110,0.00001000
1,1550,7434,0.395182,0.336454,0.00001000
1,1600,7434,0.394317,0.333291,0.00001000
1,1650,7434,0.393773,0.366012,0.00001000
1,1700,7434,0.392972,0.366575,0.00001000
1,1750,7434,0.392238,0.372121,0.00001000
1,1800,7434,0.391509,0.365118,0.00001000
1,1850,7434,0.390966,0.348992,0.00001000
1,1900,7434,0.390272,0.373097,0.00001000
1,1950,7434,0.389725,0.350248,0.00001000
1,2000,7434,0.389143,0.369660,0.00001000
1,2050,7434,0.388546,0.350308,0.00001000
1,2100,7434,0.387971,0.358287,0.00001000
1,2150,7434,0.387337,0.368163,0.00001000
1,2200,7434,0.386672,0.346319,0.00001000
1,2250,7434,0.386100,0.336819,0.00001000
1,2300,7434,0.385535,0.362207,0.00001000
1,2350,7434,0.385171,0.347571,0.00001000
1,2400,7434,0.384771,0.369115,0.00001000
1,2450,7434,0.384278,0.359428,0.00001000
1,2500,7434,0.383728,0.348884,0.00001000
1,2550,7434,0.383353,0.361637,0.00001000
1,2600,7434,0.382888,0.370365,0.00001000
1,2650,7434,0.382432,0.342683,0.00001000
1,2700,7434,0.382056,0.334583,0.00001000
1,2750,7434,0.381598,0.368401,0.00001000
1,2800,7434,0.381197,0.342117,0.00001000
1,2850,7434,0.380890,0.369737,0.00001000
1,2900,7434,0.380423,0.343473,0.00001000
1,2950,7434,0.380079,0.384060,0.00001000
1,3000,7434,0.379734,0.365344,0.00001000
1,3050,7434,0.379411,0.327237,0.00001000
1,3100,7434,0.379135,0.358872,0.00001000
1,3150,7434,0.378772,0.336970,0.00001000
1,3200,7434,0.378475,0.337295,0.00001000
1,3250,7434,0.378179,0.326230,0.00001000
1,3300,7434,0.377900,0.345188,0.00001000
1,3350,7434,0.377539,0.379243,0.00001000
1,3400,7434,0.377242,0.369933,0.00001000
1,3450,7434,0.376967,0.375291,0.00001000
1,3500,7434,0.376684,0.352695,0.00001000
1,3550,7434,0.376321,0.376891,0.00001000
1,3600,7434,0.376045,0.346271,0.00001000
1,3650,7434,0.375802,0.371857,0.00001000
1,3700,7434,0.375529,0.348934,0.00001000
1,3750,7434,0.375303,0.362384,0.00001000
1,3800,7434,0.375016,0.344323,0.00001000
1,3850,7434,0.374750,0.375269,0.00001000
1,3900,7434,0.374509,0.358415,0.00001000
1,3950,7434,0.374245,0.381198,0.00001000
1,4000,7434,0.373913,0.342565,0.00001000
1,4050,7434,0.373698,0.334036,0.00001000
1,4100,7434,0.373434,0.344495,0.00001000
1,4150,7434,0.373126,0.368822,0.00001000
1,4200,7434,0.372921,0.400403,0.00001000
1,4250,7434,0.372682,0.349782,0.00001000
1,4300,7434,0.372447,0.342042,0.00001000
1,4350,7434,0.372204,0.351682,0.00001000
1,4400,7434,0.371926,0.315477,0.00001000
1,4450,7434,0.371676,0.314635,0.00001000
1,4500,7434,0.371431,0.310764,0.00001000
1,4550,7434,0.371189,0.342714,0.00001000
1,4600,7434,0.370961,0.318672,0.00001000
1,4650,7434,0.370757,0.339848,0.00001000
1,4700,7434,0.370561,0.345574,0.00001000
1,4750,7434,0.370414,0.328659,0.00001000
1,4800,7434,0.370240,0.360313,0.00001000
1,4850,7434,0.370027,0.397824,0.00001000
1,4900,7434,0.369822,0.330852,0.00001000
1,4950,7434,0.369677,0.351603,0.00001000
1,5000,7434,0.369504,0.352446,0.00001000
1,5050,7434,0.369219,0.311663,0.00001000
1,5100,7434,0.369079,0.320482,0.00001000
1,5150,7434,0.368948,0.363408,0.00001000
1,5200,7434,0.368780,0.315689,0.00001000
1,5250,7434,0.368658,0.334837,0.00001000
1,5300,7434,0.368489,0.338548,0.00001000
1,5350,7434,0.368315,0.326162,0.00001000
1,5400,7434,0.368140,0.385744,0.00001000
1,5450,7434,0.368001,0.461268,0.00001000
1,5500,7434,0.367866,0.345086,0.00001000
1,5550,7434,0.367692,0.335990,0.00001000
1,5600,7434,0.367573,0.347072,0.00001000
1,5650,7434,0.367447,0.345050,0.00001000
1,5700,7434,0.367269,0.316612,0.00001000
1,5750,7434,0.367084,0.363104,0.00001000
1,5800,7434,0.366918,0.346698,0.00001000
1,5850,7434,0.366743,0.334368,0.00001000
1,5900,7434,0.366587,0.386541,0.00001000
1,5950,7434,0.366453,0.343837,0.00001000
1,6000,7434,0.366350,0.348498,0.00001000
1,6050,7434,0.366187,0.341935,0.00001000
1,6100,7434,0.366100,0.366693,0.00001000
1,6150,7434,0.365964,0.338702,0.00001000
1,6200,7434,0.365851,0.356185,0.00001000
1,6250,7434,0.365712,0.305321,0.00001000
1,6300,7434,0.365617,0.323725,0.00001000
1,6350,7434,0.365474,0.328437,0.00001000
1,6400,7434,0.365363,0.420491,0.00001000
1,6450,7434,0.365186,0.354209,0.00001000
1,6500,7434,0.365064,0.324838,0.00001000
1,6550,7434,0.364893,0.314509,0.00001000
1,6600,7434,0.364705,0.328358,0.00001000
1,6650,7434,0.364588,0.347184,0.00001000
1,6700,7434,0.364462,0.304051,0.00001000
1,6750,7434,0.364331,0.331982,0.00001000
1,6800,7434,0.364226,0.324851,0.00001000
1,6850,7434,0.364132,0.378941,0.00001000
1,6900,7434,0.363994,0.316925,0.00001000
1,6950,7434,0.363845,0.364893,0.00001000
1,7000,7434,0.363712,0.331584,0.00001000
1,7050,7434,0.363571,0.354175,0.00001000
1,7100,7434,0.363421,0.338104,0.00001000
1,7150,7434,0.363279,0.323916,0.00001000
1,7200,7434,0.363157,0.362346,0.00001000
1,7250,7434,0.363082,0.392354,0.00001000
1,7300,7434,0.362958,0.326234,0.00001000
1,7350,7434,0.362869,0.311231,0.00001000
1,7400,7434,0.362748,0.331411,0.00001000
1,7434,7434,0.362631,0.325778,0.00001000
2,50,7434,0.349296,0.325229,0.00005500
2,100,7434,0.351147,0.337909,0.00005500
2,150,7434,0.349084,0.338026,0.00005500
2,200,7434,0.348249,0.343460,0.00005500
2,250,7434,0.348614,0.375858,0.00005500
2,300,7434,0.348373,0.359396,0.00005500
2,350,7434,0.347478,0.334265,0.00005500
2,400,7434,0.347288,0.367292,0.00005500
2,450,7434,0.347015,0.329080,0.00005500
2,500,7434,0.346631,0.330022,0.00005500
2,550,7434,0.346550,0.309220,0.00005500
2,600,7434,0.346133,0.320610,0.00005500
2,650,7434,0.346126,0.323295,0.00005500
2,700,7434,0.345974,0.325734,0.00005500
2,750,7434,0.346030,0.408926,0.00005500
2,800,7434,0.345847,0.328764,0.00005500
2,850,7434,0.345786,0.337424,0.00005500
2,900,7434,0.345409,0.330072,0.00005500
2,950,7434,0.344899,0.294326,0.00005500
2,1000,7434,0.344689,0.399373,0.00005500
2,1050,7434,0.344306,0.307333,0.00005500
2,1100,7434,0.344189,0.329039,0.00005500
2,1150,7434,0.344182,0.343063,0.00005500
2,1200,7434,0.344091,0.329098,0.00005500
2,1250,7434,0.343719,0.306443,0.00005500
2,1300,7434,0.343499,0.306734,0.00005500
2,1350,7434,0.343462,0.387746,0.00005500
2,1400,7434,0.343566,0.342810,0.00005500
2,1450,7434,0.343484,0.318659,0.00005500
2,1500,7434,0.343357,0.366785,0.00005500
2,1550,7434,0.343336,0.332840,0.00005500
2,1600,7434,0.342989,0.311968,0.00005500
2,1650,7434,0.342770,0.303566,0.00005500
2,1700,7434,0.342646,0.314473,0.00005500
2,1750,7434,0.342425,0.326509,0.00005500
2,1800,7434,0.342282,0.332100,0.00005500
2,1850,7434,0.342040,0.313679,0.00005500
2,1900,7434,0.341933,0.327621,0.00005500
2,1950,7434,0.341639,0.348385,0.00005500
2,2000,7434,0.341572,0.328562,0.00005500
2,2050,7434,0.341373,0.308389,0.00005500
2,2100,7434,0.341219,0.330651,0.00005500
2,2150,7434,0.341018,0.311341,0.00005500
2,2200,7434,0.340949,0.323292,0.00005500
2,2250,7434,0.340868,0.360009,0.00005500
2,2300,7434,0.340524,0.334688,0.00005500
