epoch,train_loss,val_loss,train_f1,val_f1,train_acc,val_acc,val_prec,val_rec,epoch_time_s
1,0.377323,0.291711,0.137244,0.163276,0.834821,0.873649,0.30319,0.123,185.59
2,0.253102,0.249926,0.278479,0.295729,0.890284,0.892246,0.496476,0.265184,197.98
3,0.22352,0.243481,0.376054,0.387926,0.905116,0.894632,0.517963,0.372323,198.33
4,0.202284,0.216707,0.43629,0.426222,0.913779,0.907965,0.604373,0.382468,198.78
5,0.180704,0.21255,0.50446,0.48521,0.924569,0.908281,0.593372,0.447556,198.74
6,0.16702,0.210452,0.568837,0.469593,0.929916,0.91186,0.585764,0.425189,198.73
7,0.152905,0.208934,0.636943,0.525097,0.936011,0.912246,0.662921,0.474349,198.66
8,0.137687,0.216446,0.680113,0.530737,0.942621,0.912667,0.648682,0.492679,199.07
9,0.1194,0.225937,0.735591,0.525037,0.951105,0.914351,0.66948,0.469929,199.16
10,0.105084,0.222016,0.774989,0.536005,0.957453,0.914807,0.651884,0.489693,199.1
11,0.091457,0.228296,0.801344,0.538294,0.963674,0.914316,0.660519,0.492245,198.92
12,0.079747,0.23356,0.834649,0.528421,0.969558,0.915018,0.651629,0.477777,199.24
13,0.072313,0.236025,0.840445,0.534753,0.973684,0.913895,0.647654,0.488884,198.91
14,0.065321,0.233998,0.852704,0.541206,0.977105,0.914877,0.646791,0.495559,198.66
15,0.06227,0.235614,0.862914,0.536523,0.978747,0.914386,0.642715,0.488523,199.19
