epoch,batch,n_batches,running_loss
1,50,7434,0.685393
1,100,7434,0.572489
1,150,7434,0.525484
1,200,7434,0.498177
1,250,7434,0.480872
1,300,7434,0.468956
1,350,7434,0.459370
1,400,7434,0.450913
1,450,7434,0.444367
1,500,7434,0.438428
1,550,7434,0.434145
1,600,7434,0.430246
1,650,7434,0.426688
1,700,7434,0.423802
1,750,7434,0.421026
1,800,7434,0.418498
1,850,7434,0.416403
1,900,7434,0.414415
1,950,7434,0.412397
1,1000,7434,0.410976
1,1050,7434,0.409552
1,1100,7434,0.408159
1,1150,7434,0.406703
1,1200,7434,0.405194
1,1250,7434,0.404047
1,1300,7434,0.402862
1,1350,7434,0.401778
1,1400,7434,0.400780
1,1450,7434,0.399702
1,1500,7434,0.398543
1,1550,7434,0.397627
1,1600,7434,0.396643
1,1650,7434,0.395781
1,1700,7434,0.395010
1,1750,7434,0.394302
1,1800,7434,0.393498
1,1850,7434,0.392763
1,1900,7434,0.392101
1,1950,7434,0.391522
1,2000,7434,0.390780
1,2050,7434,0.390047
1,2100,7434,0.389483
1,2150,7434,0.389039
1,2200,7434,0.388488
1,2250,7434,0.388001
1,2300,7434,0.387499
1,2350,7434,0.386941
1,2400,7434,0.386361
1,2450,7434,0.385875
1,2500,7434,0.385426
1,2550,7434,0.384927
1,2600,7434,0.384443
1,2650,7434,0.384047
1,2700,7434,0.383605
1,2750,7434,0.383189
1,2800,7434,0.382819
1,2850,7434,0.382440
1,2900,7434,0.382104
1,2950,7434,0.381642
1,3000,7434,0.381154
1,3050,7434,0.380765
1,3100,7434,0.380351
1,3150,7434,0.380175
1,3200,7434,0.379750
1,3250,7434,0.379452
1,3300,7434,0.379182
1,3350,7434,0.378862
1,3400,7434,0.378612
1,3450,7434,0.378340
1,3500,7434,0.378039
1,3550,7434,0.377902
1,3600,7434,0.377530
1,3650,7434,0.377247
1,3700,7434,0.376990
1,3750,7434,0.376732
1,3800,7434,0.376415
1,3850,7434,0.376225
1,3900,7434,0.375955
1,3950,7434,0.375732
1,4000,7434,0.375510
1,4050,7434,0.375244
1,4100,7434,0.375039
1,4150,7434,0.374775
1,4200,7434,0.374531
1,4250,7434,0.374272
1,4300,7434,0.374080
1,4350,7434,0.373885
1,4400,7434,0.373663
1,4450,7434,0.373424
1,4500,7434,0.373245
1,4550,7434,0.373020
1,4600,7434,0.372836
1,4650,7434,0.372610
1,4700,7434,0.372349
1,4750,7434,0.372095
1,4800,7434,0.371940
1,4850,7434,0.371716
1,4900,7434,0.371540
