epoch,batch,n_batches,running_loss
1,50,7434,0.667060
1,100,7434,0.559893
1,150,7434,0.515122
1,200,7434,0.491065
1,250,7434,0.475154
1,300,7434,0.463256
1,350,7434,0.454316
1,400,7434,0.446890
1,450,7434,0.440535
1,500,7434,0.435202
1,550,7434,0.431015
1,600,7434,0.427202
1,650,7434,0.423583
1,700,7434,0.420555
1,750,7434,0.417703
1,800,7434,0.415481
1,850,7434,0.413475
1,900,7434,0.411596
1,950,7434,0.409953
1,1000,7434,0.408316
1,1050,7434,0.407134
1,1100,7434,0.405682
1,1150,7434,0.404269
1,1200,7434,0.403001
1,1250,7434,0.401659
1,1300,7434,0.400532
1,1350,7434,0.399496
1,1400,7434,0.398583
1,1450,7434,0.397601
1,1500,7434,0.396813
1,1550,7434,0.395939
1,1600,7434,0.395068
1,1650,7434,0.394351
1,1700,7434,0.393728
1,1750,7434,0.392999
1,1800,7434,0.392420
1,1850,7434,0.391703
1,1900,7434,0.390988
1,1950,7434,0.390414
1,2000,7434,0.389876
1,2050,7434,0.389187
1,2100,7434,0.388571
1,2150,7434,0.387967
1,2200,7434,0.387382
1,2250,7434,0.386881
1,2300,7434,0.386285
1,2350,7434,0.385827
1,2400,7434,0.385409
1,2450,7434,0.384957
1,2500,7434,0.384645
1,2550,7434,0.384272
1,2600,7434,0.383850
1,2650,7434,0.383420
1,2700,7434,0.383157
1,2750,7434,0.382735
1,2800,7434,0.382337
1,2850,7434,0.381948
1,2900,7434,0.381444
1,2950,7434,0.381175
1,3000,7434,0.380898
1,3050,7434,0.380611
1,3100,7434,0.380345
1,3150,7434,0.379943
1,3200,7434,0.379619
1,3250,7434,0.379266
1,3300,7434,0.378971
1,3350,7434,0.378678
1,3400,7434,0.378386
1,3450,7434,0.378078
1,3500,7434,0.377765
1,3550,7434,0.377498
1,3600,7434,0.377228
1,3650,7434,0.376942
1,3700,7434,0.376665
1,3750,7434,0.376415
1,3800,7434,0.376130
1,3850,7434,0.375766
1,3900,7434,0.375441
1,3950,7434,0.375158
1,4000,7434,0.374923
1,4050,7434,0.374624
1,4100,7434,0.374408
1,4150,7434,0.374230
1,4200,7434,0.374032
1,4250,7434,0.373870
1,4300,7434,0.373561
1,4350,7434,0.373336
1,4400,7434,0.373116
1,4450,7434,0.372825
1,4500,7434,0.372651
1,4550,7434,0.372399
1,4600,7434,0.372197
1,4650,7434,0.372056
1,4700,7434,0.371771
1,4750,7434,0.371586
1,4800,7434,0.371440
1,4850,7434,0.371217
1,4900,7434,0.370984
1,4950,7434,0.370769
1,5000,7434,0.370539
1,5050,7434,0.370353
1,5100,7434,0.370135
1,5150,7434,0.369945
1,5200,7434,0.369732
1,5250,7434,0.369508
1,5300,7434,0.369339
1,5350,7434,0.369147
1,5400,7434,0.368938
1,5450,7434,0.368784
1,5500,7434,0.368603
1,5550,7434,0.368406
1,5600,7434,0.368226
1,5650,7434,0.368079
1,5700,7434,0.367936
1,5750,7434,0.367798
1,5800,7434,0.367627
1,5850,7434,0.367501
1,5900,7434,0.367311
1,5950,7434,0.367174
1,6000,7434,0.366992
1,6050,7434,0.366876
1,6100,7434,0.366681
1,6150,7434,0.366497
1,6200,7434,0.366390
1,6250,7434,0.366214
1,6300,7434,0.366109
1,6350,7434,0.365991
1,6400,7434,0.365873
1,6450,7434,0.365786
1,6500,7434,0.365645
1,6550,7434,0.365483
1,6600,7434,0.365337
1,6650,7434,0.365203
1,6700,7434,0.365065
1,6750,7434,0.364895
1,6800,7434,0.364757
1,6850,7434,0.364597
1,6900,7434,0.364511
1,6950,7434,0.364378
1,7000,7434,0.364230
1,7050,7434,0.364073
1,7100,7434,0.363923
1,7150,7434,0.363765
1,7200,7434,0.363623
1,7250,7434,0.363524
1,7300,7434,0.363368
1,7350,7434,0.363215
1,7400,7434,0.363132
