epoch,true_class,pred_class,value
1,Land principally occupied by agriculture,Urban fabric,0.0
1,Land principally occupied by agriculture,Industrial or commercial units,0.0
1,Land principally occupied by agriculture,Arable land,0.0
1,Land principally occupied by agriculture,Permanent crops,0.0
1,Land principally occupied by agriculture,Pastures,0.0
1,Land principally occupied by agriculture,Complex cultivation patterns,0.0
1,Land principally occupied by agriculture,Land principally occupied by agriculture,0.0
1,Land principally occupied by agriculture,Agro-forestry areas,0.0
1,Land principally occupied by agriculture,Broad-leaved forest,0.0
1,Land principally occupied by agriculture,Coniferous forest,0.0
1,Land principally occupied by agriculture,Mixed forest,0.0
1,Land principally occupied by agriculture,Natural grassland and sparsely vegetated areas,0.0
1,Land principally occupied by agriculture,"Moors, heathland and sclerophyllous vegetation",0.0
1,Land principally occupied by agriculture,"Transitional woodland, shrub",0.0
1,Land principally occupied by agriculture,"Beaches, dunes, sands",0.0
1,Land principally occupied by agriculture,Inland wetlands,0.0
1,Land principally occupied by agriculture,Coastal wetlands,0.0
1,Land principally occupied by agriculture,Inland waters,0.0
1,Land principally occupied by agriculture,Marine waters,0.0
1,Agro-forestry areas,Urban fabric,0.274725
1,Agro-forestry areas,Industrial or commercial units,0.043956
1,Agro-forestry areas,Arable land,0.318681
1,Agro-forestry areas,Permanent crops,0.714286
1,Agro-forestry areas,Pastures,0.208791
1,Agro-forestry areas,Complex cultivation patterns,0.065934
1,Agro-forestry areas,Land principally occupied by agriculture,0.417582
1,Agro-forestry areas,Agro-forestry areas,0.285714
1,Agro-forestry areas,Broad-leaved forest,0.032967
1,Agro-forestry areas,Coniferous forest,0.043956
1,Agro-forestry areas,Mixed forest,0.615385
1,Agro-forestry areas,Natural grassland and sparsely vegetated areas,0.0
1,Agro-forestry areas,"Moors, heathland and sclerophyllous vegetation",0.318681
1,Agro-forestry areas,"Transitional woodland, shrub",0.637363
1,Agro-forestry areas,"Beaches, dunes, sands",0.076923
1,Agro-forestry areas,Inland wetlands,0.131868
1,Agro-forestry areas,Coastal wetlands,0.615385
1,Agro-forestry areas,Inland waters,0.098901
1,Agro-forestry areas,Marine waters,0.0
1,Broad-leaved forest,Urban fabric,0.38914
1,Broad-leaved forest,Industrial or commercial units,0.029412
1,Broad-leaved forest,Arable land,0.488688
1,Broad-leaved forest,Permanent crops,0.699095
1,Broad-leaved forest,Pastures,0.11086
1,Broad-leaved forest,Complex cultivation patterns,0.131222
1,Broad-leaved forest,Land principally occupied by agriculture,0.366516
1,Broad-leaved forest,Agro-forestry areas,0.285068
1,Broad-leaved forest,Broad-leaved forest,0.024887
1,Broad-leaved forest,Coniferous forest,0.020362
1,Broad-leaved forest,Mixed forest,0.545249
1,Broad-leaved forest,Natural grassland and sparsely vegetated areas,0.0
1,Broad-leaved forest,"Moors, heathland and sclerophyllous vegetation",0.251131
1,Broad-leaved forest,"Transitional woodland, shrub",0.714932
1,Broad-leaved forest,"Beaches, dunes, sands",0.10181
1,Broad-leaved forest,Inland wetlands,0.099548
1,Broad-leaved forest,Coastal wetlands,0.608597
1,Broad-leaved forest,Inland waters,0.131222
1,Broad-leaved forest,Marine waters,0.011312
1,Coniferous forest,Urban fabric,0.313525
1,Coniferous forest,Industrial or commercial units,0.026639
1,Coniferous forest,Arable land,0.459016
1,Coniferous forest,Permanent crops,0.737705
1,Coniferous forest,Pastures,0.071721
1,Coniferous forest,Complex cultivation patterns,0.098361
1,Coniferous forest,Land principally occupied by agriculture,0.29918
1,Coniferous forest,Agro-forestry areas,0.334016
1,Coniferous forest,Broad-leaved forest,0.02459
1,Coniferous forest,Coniferous forest,0.028689
1,Coniferous forest,Mixed forest,0.489754
1,Coniferous forest,Natural grassland and sparsely vegetated areas,0.0
1,Coniferous forest,"Moors, heathland and sclerophyllous vegetation",0.188525
1,Coniferous forest,"Transitional woodland, shrub",0.727459
1,Coniferous forest,"Beaches, dunes, sands",0.145492
1,Coniferous forest,Inland wetlands,0.084016
1,Coniferous forest,Coastal wetlands,0.635246
1,Coniferous forest,Inland waters,0.065574
1,Coniferous forest,Marine waters,0.0
1,Mixed forest,Urban fabric,0.320792
1,Mixed forest,Industrial or commercial units,0.017822
1,Mixed forest,Arable land,0.425743
1,Mixed forest,Permanent crops,0.762376
1,Mixed forest,Pastures,0.063366
1,Mixed forest,Complex cultivation patterns,0.120792
1,Mixed forest,Land principally occupied by agriculture,0.29703
1,Mixed forest,Agro-forestry areas,0.340594
1,Mixed forest,Broad-leaved forest,0.017822
1,Mixed forest,Coniferous forest,0.023762
1,Mixed forest,Mixed forest,0.512871
1,Mixed forest,Natural grassland and sparsely vegetated areas,0.0
1,Mixed forest,"Moors, heathland and sclerophyllous vegetation",0.188119
1,Mixed forest,"Transitional woodland, shrub",0.744554
1,Mixed forest,"Beaches, dunes, sands",0.150495
1,Mixed forest,Inland wetlands,0.077228
1,Mixed forest,Coastal wetlands,0.633663
1,Mixed forest,Inland waters,0.069307
1,Mixed forest,Marine waters,0.00396
1,Natural grassland and sparsely vegetated areas,Urban fabric,0.447368
1,Natural grassland and sparsely vegetated areas,Industrial or commercial units,0.0
1,Natural grassland and sparsely vegetated areas,Arable land,0.526316
1,Natural grassland and sparsely vegetated areas,Permanent crops,0.657895
1,Natural grassland and sparsely vegetated areas,Pastures,0.026316
1,Natural grassland and sparsely vegetated areas,Complex cultivation patterns,0.078947
1,Natural grassland and sparsely vegetated areas,Land principally occupied by agriculture,0.5
1,Natural grassland and sparsely vegetated areas,Agro-forestry areas,0.236842
1,Natural grassland and sparsely vegetated areas,Broad-leaved forest,0.0
1,Natural grassland and sparsely vegetated areas,Coniferous forest,0.026316
1,Natural grassland and sparsely vegetated areas,Mixed forest,0.631579
1,Natural grassland and sparsely vegetated areas,Natural grassland and sparsely vegetated areas,0.0
1,Natural grassland and sparsely vegetated areas,"Moors, heathland and sclerophyllous vegetation",0.394737
1,Natural grassland and sparsely vegetated areas,"Transitional woodland, shrub",0.605263
1,Natural grassland and sparsely vegetated areas,"Beaches, dunes, sands",0.052632
1,Natural grassland and sparsely vegetated areas,Inland wetlands,0.157895
1,Natural grassland and sparsely vegetated areas,Coastal wetlands,0.815789
1,Natural grassland and sparsely vegetated areas,Inland waters,0.157895
1,Natural grassland and sparsely vegetated areas,Marine waters,0.0
1,"Moors, heathland and sclerophyllous vegetation",Urban fabric,0.391304
1,"Moors, heathland and sclerophyllous vegetation",Industrial or commercial units,0.021739
1,"Moors, heathland and sclerophyllous vegetation",Arable land,0.326087
1,"Moors, heathland and sclerophyllous vegetation",Permanent crops,0.5
1,"Moors, heathland and sclerophyllous vegetation",Pastures,0.021739
1,"Moors, heathland and sclerophyllous vegetation",Complex cultivation patterns,0.130435
1,"Moors, heathland and sclerophyllous vegetation",Land principally occupied by agriculture,0.326087
1,"Moors, heathland and sclerophyllous vegetation",Agro-forestry areas,0.173913
1,"Moors, heathland and sclerophyllous vegetation",Broad-leaved forest,0.043478
1,"Moors, heathland and sclerophyllous vegetation",Coniferous forest,0.0
1,"Moors, heathland and sclerophyllous vegetation",Mixed forest,0.73913
1,"Moors, heathland and sclerophyllous vegetation",Natural grassland and sparsely vegetated areas,0.0
1,"Moors, heathland and sclerophyllous vegetation","Moors, heathland and sclerophyllous vegetation",0.23913
1,"Moors, heathland and sclerophyllous vegetation","Transitional woodland, shrub",0.673913
1,"Moors, heathland and sclerophyllous vegetation","Beaches, dunes, sands",0.195652
1,"Moors, heathland and sclerophyllous vegetation",Inland wetlands,0.130435
1,"Moors, heathland and sclerophyllous vegetation",Coastal wetlands,0.630435
1,"Moors, heathland and sclerophyllous vegetation",Inland waters,0.23913
1,"Moors, heathland and sclerophyllous vegetation",Marine waters,0.0
1,"Transitional woodland, shrub",Urban fabric,0.358025
1,"Transitional woodland, shrub",Industrial or commercial units,0.032922
1,"Transitional woodland, shrub",Arable land,0.444444
1,"Transitional woodland, shrub",Permanent crops,0.658436
1,"Transitional woodland, shrub",Pastures,0.08642
1,"Transitional woodland, shrub",Complex cultivation patterns,0.106996
1,"Transitional woodland, shrub",Land principally occupied by agriculture,0.349794
1,"Transitional woodland, shrub",Agro-forestry areas,0.271605
1,"Transitional woodland, shrub",Broad-leaved forest,0.024691
1,"Transitional woodland, shrub",Coniferous forest,0.026749
1,"Transitional woodland, shrub",Mixed forest,0.532922
1,"Transitional woodland, shrub",Natural grassland and sparsely vegetated areas,0.0
1,"Transitional woodland, shrub","Moors, heathland and sclerophyllous vegetation",0.248971
1,"Transitional woodland, shrub","Transitional woodland, shrub",0.709877
1,"Transitional woodland, shrub","Beaches, dunes, sands",0.146091
1,"Transitional woodland, shrub",Inland wetlands,0.090535
1,"Transitional woodland, shrub",Coastal wetlands,0.652263
1,"Transitional woodland, shrub",Inland waters,0.100823
1,"Transitional woodland, shrub",Marine waters,0.006173
1,"Beaches, dunes, sands",Urban fabric,0.666667
1,"Beaches, dunes, sands",Industrial or commercial units,0.166667
1,"Beaches, dunes, sands",Arable land,0.5
1,"Beaches, dunes, sands",Permanent crops,0.833333
1,"Beaches, dunes, sands",Pastures,0.0
1,"Beaches, dunes, sands",Complex cultivation patterns,0.0
1,"Beaches, dunes, sands",Land principally occupied by agriculture,0.5
1,"Beaches, dunes, sands",Agro-forestry areas,0.166667
1,"Beaches, dunes, sands",Broad-leaved forest,0.0
1,"Beaches, dunes, sands",Coniferous forest,0.166667
1,"Beaches, dunes, sands",Mixed forest,0.333333
1,"Beaches, dunes, sands",Natural grassland and sparsely vegetated areas,0.0
1,"Beaches, dunes, sands","Moors, heathland and sclerophyllous vegetation",0.5
1,"Beaches, dunes, sands","Transitional woodland, shrub",0.5
1,"Beaches, dunes, sands","Beaches, dunes, sands",0.5
1,"Beaches, dunes, sands",Inland wetlands,0.333333
1,"Beaches, dunes, sands",Coastal wetlands,0.5
1,"Beaches, dunes, sands",Inland waters,0.166667
1,"Beaches, dunes, sands",Marine waters,0.0
1,Inland wetlands,Urban fabric,0.349206
1,Inland wetlands,Industrial or commercial units,0.079365
1,Inland wetlands,Arable land,0.47619
1,Inland wetlands,Permanent crops,0.714286
1,Inland wetlands,Pastures,0.095238
1,Inland wetlands,Complex cultivation patterns,0.126984
1,Inland wetlands,Land principally occupied by agriculture,0.333333
1,Inland wetlands,Agro-forestry areas,0.253968
1,Inland wetlands,Broad-leaved forest,0.015873
1,Inland wetlands,Coniferous forest,0.031746
1,Inland wetlands,Mixed forest,0.444444
1,Inland wetlands,Natural grassland and sparsely vegetated areas,0.0
1,Inland wetlands,"Moors, heathland and sclerophyllous vegetation",0.238095
1,Inland wetlands,"Transitional woodland, shrub",0.603175
1,Inland wetlands,"Beaches, dunes, sands",0.079365
1,Inland wetlands,Inland wetlands,0.190476
1,Inland wetlands,Coastal wetlands,0.666667
1,Inland wetlands,Inland waters,0.111111
1,Inland wetlands,Marine waters,0.0
1,Coastal wetlands,Urban fabric,0.4
1,Coastal wetlands,Industrial or commercial units,0.0
1,Coastal wetlands,Arable land,0.6
1,Coastal wetlands,Permanent crops,0.5
1,Coastal wetlands,Pastures,0.1
1,Coastal wetlands,Complex cultivation patterns,0.0
1,Coastal wetlands,Land principally occupied by agriculture,0.6
1,Coastal wetlands,Agro-forestry areas,0.0
1,Coastal wetlands,Broad-leaved forest,0.0
1,Coastal wetlands,Coniferous forest,0.2
1,Coastal wetlands,Mixed forest,0.7
1,Coastal wetlands,Natural grassland and sparsely vegetated areas,0.0
1,Coastal wetlands,"Moors, heathland and sclerophyllous vegetation",0.6
1,Coastal wetlands,"Transitional woodland, shrub",0.8
1,Coastal wetlands,"Beaches, dunes, sands",0.2
1,Coastal wetlands,Inland wetlands,0.1
1,Coastal wetlands,Coastal wetlands,0.4
1,Coastal wetlands,Inland waters,0.2
1,Coastal wetlands,Marine waters,0.0
1,Inland waters,Urban fabric,0.225275
1,Inland waters,Industrial or commercial units,0.027473
1,Inland waters,Arable land,0.406593
1,Inland waters,Permanent crops,0.78022
1,Inland waters,Pastures,0.065934
1,Inland waters,Complex cultivation patterns,0.065934
1,Inland waters,Land principally occupied by agriculture,0.384615
1,Inland waters,Agro-forestry areas,0.384615
1,Inland waters,Broad-leaved forest,0.032967
1,Inland waters,Coniferous forest,0.027473
1,Inland waters,Mixed forest,0.543956
1,Inland waters,Natural grassland and sparsely vegetated areas,0.0
1,Inland waters,"Moors, heathland and sclerophyllous vegetation",0.197802
1,Inland waters,"Transitional woodland, shrub",0.675824
1,Inland waters,"Beaches, dunes, sands",0.192308
1,Inland waters,Inland wetlands,0.115385
1,Inland waters,Coastal wetlands,0.664835
1,Inland waters,Inland waters,0.087912
1,Inland waters,Marine waters,0.005495
1,Marine waters,Urban fabric,0.754386
1,Marine waters,Industrial or commercial units,0.140351
1,Marine waters,Arable land,0.140351
1,Marine waters,Permanent crops,0.953216
1,Marine waters,Pastures,0.631579
1,Marine waters,Complex cultivation patterns,0.187135
1,Marine waters,Land principally occupied by agriculture,0.877193
1,Marine waters,Agro-forestry areas,0.175439
1,Marine waters,Broad-leaved forest,0.046784
1,Marine waters,Coniferous forest,0.017544
1,Marine waters,Mixed forest,0.163743
1,Marine waters,Natural grassland and sparsely vegetated areas,0.0
1,Marine waters,"Moors, heathland and sclerophyllous vegetation",0.789474
1,Marine waters,"Transitional woodland, shrub",0.397661
1,Marine waters,"Beaches, dunes, sands",0.777778
1,Marine waters,Inland wetlands,0.140351
1,Marine waters,Coastal wetlands,0.929825
1,Marine waters,Inland waters,0.619883
1,Marine waters,Marine waters,0.321637
2,Urban fabric,Urban fabric,0.0
2,Urban fabric,Industrial or commercial units,0.0
2,Urban fabric,Arable land,0.089109
2,Urban fabric,Permanent crops,0.0
2,Urban fabric,Pastures,0.0
2,Urban fabric,Complex cultivation patterns,0.0
2,Urban fabric,Land principally occupied by agriculture,0.0
2,Urban fabric,Agro-forestry areas,0.0
2,Urban fabric,Broad-leaved forest,0.0
2,Urban fabric,Coniferous forest,0.0
2,Urban fabric,Mixed forest,0.0
2,Urban fabric,Natural grassland and sparsely vegetated areas,0.0
2,Urban fabric,"Moors, heathland and sclerophyllous vegetation",0.0
2,Urban fabric,"Transitional woodland, shrub",0.0
2,Urban fabric,"Beaches, dunes, sands",0.0
2,Urban fabric,Inland wetlands,0.0
2,Urban fabric,Coastal wetlands,0.0
2,Urban fabric,Inland waters,0.0
2,Urban fabric,Marine waters,0.0
2,Industrial or commercial units,Urban fabric,0.0
2,Industrial or commercial units,Industrial or commercial units,0.0
2,Industrial or commercial units,Arable land,0.086957
2,Industrial or commercial units,Permanent crops,0.0
2,Industrial or commercial units,Pastures,0.0
2,Industrial or commercial units,Complex cultivation patterns,0.0
2,Industrial or commercial units,Land principally occupied by agriculture,0.0
2,Industrial or commercial units,Agro-forestry areas,0.0
2,Industrial or commercial units,Broad-leaved forest,0.0
2,Industrial or commercial units,Coniferous forest,0.0
2,Industrial or commercial units,Mixed forest,0.0
2,Industrial or commercial units,Natural grassland and sparsely vegetated areas,0.0
2,Industrial or commercial units,"Moors, heathland and sclerophyllous vegetation",0.0
2,Industrial or commercial units,"Transitional woodland, shrub",0.0
2,Industrial or commercial units,"Beaches, dunes, sands",0.0
2,Industrial or commercial units,Inland wetlands,0.0
2,Industrial or commercial units,Coastal wetlands,0.0
2,Industrial or commercial units,Inland waters,0.0
2,Industrial or commercial units,Marine waters,0.0
2,Arable land,Urban fabric,0.0
2,Arable land,Industrial or commercial units,0.0
2,Arable land,Arable land,0.039246
2,Arable land,Permanent crops,0.0
2,Arable land,Pastures,0.0
2,Arable land,Complex cultivation patterns,0.0
2,Arable land,Land principally occupied by agriculture,0.0
2,Arable land,Agro-forestry areas,0.0
2,Arable land,Broad-leaved forest,0.0
2,Arable land,Coniferous forest,0.0
2,Arable land,Mixed forest,0.0
2,Arable land,Natural grassland and sparsely vegetated areas,0.0
2,Arable land,"Moors, heathland and sclerophyllous vegetation",0.0
2,Arable land,"Transitional woodland, shrub",0.0
2,Arable land,"Beaches, dunes, sands",0.0
2,Arable land,Inland wetlands,0.0
2,Arable land,Coastal wetlands,0.0
2,Arable land,Inland waters,0.0
2,Arable land,Marine waters,0.0
2,Permanent crops,Urban fabric,0.0
2,Permanent crops,Industrial or commercial units,0.0
2,Permanent crops,Arable land,0.035398
2,Permanent crops,Permanent crops,0.0
2,Permanent crops,Pastures,0.0
2,Permanent crops,Complex cultivation patterns,0.0
2,Permanent crops,Land principally occupied by agriculture,0.0
2,Permanent crops,Agro-forestry areas,0.0
2,Permanent crops,Broad-leaved forest,0.0
2,Permanent crops,Coniferous forest,0.0
2,Permanent crops,Mixed forest,0.0
2,Permanent crops,Natural grassland and sparsely vegetated areas,0.0
2,Permanent crops,"Moors, heathland and sclerophyllous vegetation",0.0
2,Permanent crops,"Transitional woodland, shrub",0.0
2,Permanent crops,"Beaches, dunes, sands",0.0
2,Permanent crops,Inland wetlands,0.0
2,Permanent crops,Coastal wetlands,0.0
2,Permanent crops,Inland waters,0.0
2,Permanent crops,Marine waters,0.0
2,Pastures,Urban fabric,0.0
2,Pastures,Industrial or commercial units,0.0
2,Pastures,Arable land,0.006601
2,Pastures,Permanent crops,0.0
2,Pastures,Pastures,0.0
2,Pastures,Complex cultivation patterns,0.0
2,Pastures,Land principally occupied by agriculture,0.0
2,Pastures,Agro-forestry areas,0.0
2,Pastures,Broad-leaved forest,0.0
2,Pastures,Coniferous forest,0.0
2,Pastures,Mixed forest,0.0
2,Pastures,Natural grassland and sparsely vegetated areas,0.0
2,Pastures,"Moors, heathland and sclerophyllous vegetation",0.0
2,Pastures,"Transitional woodland, shrub",0.0
2,Pastures,"Beaches, dunes, sands",0.0
2,Pastures,Inland wetlands,0.0
2,Pastures,Coastal wetlands,0.0
2,Pastures,Inland waters,0.0
2,Pastures,Marine waters,0.0
2,Complex cultivation patterns,Urban fabric,0.0
2,Complex cultivation patterns,Industrial or commercial units,0.0
2,Complex cultivation patterns,Arable land,0.046053
2,Complex cultivation patterns,Permanent crops,0.0
2,Complex cultivation patterns,Pastures,0.0
2,Complex cultivation patterns,Complex cultivation patterns,0.0
2,Complex cultivation patterns,Land principally occupied by agriculture,0.0
2,Complex cultivation patterns,Agro-forestry areas,0.0
2,Complex cultivation patterns,Broad-leaved forest,0.0
2,Complex cultivation patterns,Coniferous forest,0.0
2,Complex cultivation patterns,Mixed forest,0.0
2,Complex cultivation patterns,Natural grassland and sparsely vegetated areas,0.0
2,Complex cultivation patterns,"Moors, heathland and sclerophyllous vegetation",0.0
2,Complex cultivation patterns,"Transitional woodland, shrub",0.0
2,Complex cultivation patterns,"Beaches, dunes, sands",0.0
2,Complex cultivation patterns,Inland wetlands,0.0
2,Complex cultivation patterns,Coastal wetlands,0.0
2,Complex cultivation patterns,Inland waters,0.0
2,Complex cultivation patterns,Marine waters,0.0
2,Land principally occupied by agriculture,Urban fabric,0.0
2,Land principally occupied by agriculture,Industrial or commercial units,0.0
2,Land principally occupied by agriculture,Arable land,0.0
2,Land principally occupied by agriculture,Permanent crops,0.0
2,Land principally occupied by agriculture,Pastures,0.0
2,Land principally occupied by agriculture,Complex cultivation patterns,0.0
2,Land principally occupied by agriculture,Land principally occupied by agriculture,0.0
2,Land principally occupied by agriculture,Agro-forestry areas,0.0
2,Land principally occupied by agriculture,Broad-leaved forest,0.0
2,Land principally occupied by agriculture,Coniferous forest,0.0
2,Land principally occupied by agriculture,Mixed forest,0.0
2,Land principally occupied by agriculture,Natural grassland and sparsely vegetated areas,0.0
2,Land principally occupied by agriculture,"Moors, heathland and sclerophyllous vegetation",0.0
2,Land principally occupied by agriculture,"Transitional woodland, shrub",0.0
2,Land principally occupied by agriculture,"Beaches, dunes, sands",0.0
2,Land principally occupied by agriculture,Inland wetlands,0.0
2,Land principally occupied by agriculture,Coastal wetlands,0.0
2,Land principally occupied by agriculture,Inland waters,0.0
2,Land principally occupied by agriculture,Marine waters,0.0
2,Agro-forestry areas,Urban fabric,0.0
2,Agro-forestry areas,Industrial or commercial units,0.0
2,Agro-forestry areas,Arable land,0.010989
2,Agro-forestry areas,Permanent crops,0.0
2,Agro-forestry areas,Pastures,0.0
2,Agro-forestry areas,Complex cultivation patterns,0.0
2,Agro-forestry areas,Land principally occupied by agriculture,0.0
2,Agro-forestry areas,Agro-forestry areas,0.0
2,Agro-forestry areas,Broad-leaved forest,0.0
2,Agro-forestry areas,Coniferous forest,0.0
2,Agro-forestry areas,Mixed forest,0.0
2,Agro-forestry areas,Natural grassland and sparsely vegetated areas,0.0
2,Agro-forestry areas,"Moors, heathland and sclerophyllous vegetation",0.0
2,Agro-forestry areas,"Transitional woodland, shrub",0.0
2,Agro-forestry areas,"Beaches, dunes, sands",0.0
2,Agro-forestry areas,Inland wetlands,0.0
2,Agro-forestry areas,Coastal wetlands,0.0
2,Agro-forestry areas,Inland waters,0.0
2,Agro-forestry areas,Marine waters,0.0
2,Broad-leaved forest,Urban fabric,0.0
2,Broad-leaved forest,Industrial or commercial units,0.0
2,Broad-leaved forest,Arable land,0.027149
2,Broad-leaved forest,Permanent crops,0.0
2,Broad-leaved forest,Pastures,0.0
2,Broad-leaved forest,Complex cultivation patterns,0.0
2,Broad-leaved forest,Land principally occupied by agriculture,0.0
2,Broad-leaved forest,Agro-forestry areas,0.0
2,Broad-leaved forest,Broad-leaved forest,0.0
2,Broad-leaved forest,Coniferous forest,0.0
2,Broad-leaved forest,Mixed forest,0.0
2,Broad-leaved forest,Natural grassland and sparsely vegetated areas,0.0
2,Broad-leaved forest,"Moors, heathland and sclerophyllous vegetation",0.0
