epoch,train_loss,val_loss,train_f1,val_f1,train_acc,val_acc,val_prec,val_rec,epoch_time_s
1,0.35964,0.288198,0.143094,0.190092,0.842758,0.878281,0.32358,0.166187,209.22
2,0.258982,0.258621,0.27595,0.283232,0.889516,0.888211,0.456395,0.229098,210.12
3,0.22967,0.244848,0.355725,0.380885,0.902063,0.888491,0.500287,0.364407,209.43
4,0.20794,0.228456,0.420148,0.416725,0.912221,0.900947,0.564818,0.380995,209.69
5,0.187714,0.213786,0.48052,0.493833,0.920684,0.910351,0.588071,0.452037,210.27
6,0.170169,0.207779,0.54876,0.518527,0.928189,0.912983,0.668465,0.45878,209.46
7,0.158048,0.205907,0.604901,0.535401,0.934221,0.912632,0.637227,0.499796,209.84
8,0.139604,0.213064,0.676375,0.531628,0.942695,0.914702,0.652305,0.477218,210.12
9,0.126442,0.212782,0.715178,0.540652,0.948053,0.914491,0.644606,0.489535,209.97
10,0.10842,0.221747,0.755167,0.548693,0.956642,0.915368,0.636233,0.506162,209.74
11,0.094221,0.22757,0.787573,0.542767,0.962558,0.913684,0.632514,0.504164,210.42
12,0.081855,0.233296,0.813418,0.55616,0.969021,0.914176,0.640132,0.516182,209.84
13,0.073075,0.235421,0.839986,0.561863,0.972663,0.914772,0.63961,0.523761,210.33
14,0.067609,0.235847,0.850958,0.549299,0.975842,0.913895,0.636115,0.510222,209.33
15,0.063516,0.234753,0.855053,0.55511,0.977326,0.914035,0.633755,0.513872,210.16
