epoch,train_loss,val_loss,train_f1,val_f1,train_acc,val_acc,val_prec,val_rec,epoch_time_s
1,0.373826,0.291079,0.138245,0.140447,0.827147,0.873649,0.392336,0.110079,209.71
2,0.252115,0.244157,0.293558,0.336357,0.890979,0.894105,0.451604,0.30639,215.0
3,0.217816,0.226327,0.387267,0.396926,0.907084,0.902,0.489561,0.364672,216.43
4,0.19956,0.220968,0.443942,0.394586,0.915484,0.906035,0.574872,0.356322,216.47
5,0.180897,0.213618,0.498506,0.478816,0.923969,0.909263,0.5937,0.437661,215.93
6,0.164732,0.220206,0.565138,0.507815,0.930147,0.905158,0.602143,0.485609,215.69
7,0.147442,0.205241,0.624972,0.534097,0.938684,0.914351,0.653192,0.494669,216.54
8,0.131406,0.208905,0.708268,0.543858,0.945684,0.91614,0.630348,0.496994,216.51
9,0.113918,0.219923,0.741901,0.532518,0.952905,0.913158,0.640032,0.494148,216.48
10,0.100159,0.224285,0.77797,0.557121,0.960484,0.91579,0.652487,0.50518,217.04
11,0.087997,0.228672,0.815538,0.556496,0.965937,0.91607,0.63161,0.513833,216.08
12,0.076545,0.230238,0.832143,0.557881,0.971568,0.914632,0.636959,0.522885,216.02
13,0.066899,0.232736,0.850149,0.572305,0.976116,0.916632,0.62592,0.536739,216.62
14,0.061486,0.232975,0.863716,0.564614,0.978253,0.916211,0.636892,0.526918,215.76
15,0.058511,0.236732,0.864228,0.564685,0.979705,0.915158,0.633183,0.528156,215.88
