epoch,train_loss,val_loss,train_f1,val_f1,train_acc,val_acc,val_prec,val_rec,epoch_time_s
1,0.361094,0.285306,0.145069,0.179928,0.843337,0.878351,0.403735,0.140613,51.68
2,0.252937,0.250404,0.281567,0.327795,0.890589,0.89193,0.42407,0.298813,57.56
3,0.223091,0.234407,0.371981,0.41063,0.903916,0.898491,0.480615,0.381263,56.21
4,0.202509,0.245036,0.436451,0.411546,0.914042,0.892842,0.569162,0.367736,57.77
5,0.184568,0.212125,0.501285,0.450403,0.921337,0.908737,0.621194,0.394757,57.41
6,0.167726,0.204369,0.564437,0.489994,0.929432,0.912351,0.609228,0.432668,57.31
7,0.152687,0.211274,0.630412,0.511732,0.936158,0.913088,0.646599,0.46152,57.56
8,0.135083,0.219369,0.686791,0.51598,0.944053,0.910281,0.629338,0.477677,57.94
9,0.122301,0.216182,0.730839,0.548633,0.950684,0.912877,0.636055,0.506166,57.95
10,0.107014,0.21931,0.774632,0.536239,0.957632,0.91393,0.63017,0.48741,57.27
11,0.093214,0.229095,0.792871,0.54139,0.963558,0.912456,0.629307,0.498552,56.96
12,0.082208,0.231339,0.817138,0.536898,0.969147,0.913895,0.638637,0.487705,57.02
13,0.072459,0.233995,0.837335,0.547963,0.972663,0.913404,0.608131,0.513113,56.94
14,0.066386,0.236319,0.849476,0.536208,0.975832,0.914246,0.634236,0.489159,57.15
15,0.063097,0.235916,0.856051,0.547192,0.977768,0.914632,0.639272,0.501978,57.14
