epoch,true_class,pred_class,value
1,Land principally occupied by agriculture,Industrial or commercial units,0.0
1,Land principally occupied by agriculture,Arable land,0.0
1,Land principally occupied by agriculture,Permanent crops,0.0
1,Land principally occupied by agriculture,Pastures,0.0
1,Land principally occupied by agriculture,Complex cultivation patterns,0.0
1,Land principally occupied by agriculture,Land principally occupied by agriculture,0.0
1,Land principally occupied by agriculture,Agro-forestry areas,0.0
1,Land principally occupied by agriculture,Broad-leaved forest,0.0
1,Land principally occupied by agriculture,Coniferous forest,0.0
1,Land principally occupied by agriculture,Mixed forest,0.0
1,Land principally occupied by agriculture,Natural grassland and sparsely vegetated areas,0.0
1,Land principally occupied by agriculture,"Moors, heathland and sclerophyllous vegetation",0.0
1,Land principally occupied by agriculture,"Transitional woodland, shrub",0.0
1,Land principally occupied by agriculture,"Beaches, dunes, sands",0.0
1,Land principally occupied by agriculture,Inland wetlands,0.0
1,Land principally occupied by agriculture,Coastal wetlands,0.0
1,Land principally occupied by agriculture,Inland waters,0.0
1,Land principally occupied by agriculture,Marine waters,0.0
1,Agro-forestry areas,Urban fabric,0.021978
1,Agro-forestry areas,Industrial or commercial units,0.0
1,Agro-forestry areas,Arable land,0.835165
1,Agro-forestry areas,Permanent crops,0.0
1,Agro-forestry areas,Pastures,0.010989
1,Agro-forestry areas,Complex cultivation patterns,0.021978
1,Agro-forestry areas,Land principally occupied by agriculture,0.0
1,Agro-forestry areas,Agro-forestry areas,0.010989
1,Agro-forestry areas,Broad-leaved forest,0.241758
1,Agro-forestry areas,Coniferous forest,0.0
1,Agro-forestry areas,Mixed forest,0.0
1,Agro-forestry areas,Natural grassland and sparsely vegetated areas,0.0
1,Agro-forestry areas,"Moors, heathland and sclerophyllous vegetation",0.0
1,Agro-forestry areas,"Transitional woodland, shrub",0.021978
1,Agro-forestry areas,"Beaches, dunes, sands",0.0
1,Agro-forestry areas,Inland wetlands,0.0
1,Agro-forestry areas,Coastal wetlands,0.0
1,Agro-forestry areas,Inland waters,0.0
1,Agro-forestry areas,Marine waters,0.0
1,Broad-leaved forest,Urban fabric,0.004525
1,Broad-leaved forest,Industrial or commercial units,0.0
1,Broad-leaved forest,Arable land,0.506787
1,Broad-leaved forest,Permanent crops,0.0
1,Broad-leaved forest,Pastures,0.013575
1,Broad-leaved forest,Complex cultivation patterns,0.031674
1,Broad-leaved forest,Land principally occupied by agriculture,0.0
1,Broad-leaved forest,Agro-forestry areas,0.0
1,Broad-leaved forest,Broad-leaved forest,0.167421
1,Broad-leaved forest,Coniferous forest,0.271493
1,Broad-leaved forest,Mixed forest,0.205882
1,Broad-leaved forest,Natural grassland and sparsely vegetated areas,0.0
1,Broad-leaved forest,"Moors, heathland and sclerophyllous vegetation",0.0
1,Broad-leaved forest,"Transitional woodland, shrub",0.187783
1,Broad-leaved forest,"Beaches, dunes, sands",0.0
1,Broad-leaved forest,Inland wetlands,0.0
1,Broad-leaved forest,Coastal wetlands,0.0
1,Broad-leaved forest,Inland waters,0.0
1,Broad-leaved forest,Marine waters,0.002262
1,Coniferous forest,Urban fabric,0.002049
1,Coniferous forest,Industrial or commercial units,0.0
1,Coniferous forest,Arable land,0.280738
1,Coniferous forest,Permanent crops,0.0
1,Coniferous forest,Pastures,0.010246
1,Coniferous forest,Complex cultivation patterns,0.018443
1,Coniferous forest,Land principally occupied by agriculture,0.0
1,Coniferous forest,Agro-forestry areas,0.002049
1,Coniferous forest,Broad-leaved forest,0.043033
1,Coniferous forest,Coniferous forest,0.625
1,Coniferous forest,Mixed forest,0.440574
1,Coniferous forest,Natural grassland and sparsely vegetated areas,0.002049
1,Coniferous forest,"Moors, heathland and sclerophyllous vegetation",0.0
1,Coniferous forest,"Transitional woodland, shrub",0.393443
1,Coniferous forest,"Beaches, dunes, sands",0.0
1,Coniferous forest,Inland wetlands,0.0
1,Coniferous forest,Coastal wetlands,0.0
1,Coniferous forest,Inland waters,0.002049
1,Coniferous forest,Marine waters,0.012295
1,Mixed forest,Urban fabric,0.00396
1,Mixed forest,Industrial or commercial units,0.0
1,Mixed forest,Arable land,0.279208
1,Mixed forest,Permanent crops,0.0
1,Mixed forest,Pastures,0.007921
1,Mixed forest,Complex cultivation patterns,0.015842
1,Mixed forest,Land principally occupied by agriculture,0.0
1,Mixed forest,Agro-forestry areas,0.0
1,Mixed forest,Broad-leaved forest,0.039604
1,Mixed forest,Coniferous forest,0.621782
1,Mixed forest,Mixed forest,0.441584
1,Mixed forest,Natural grassland and sparsely vegetated areas,0.00198
1,Mixed forest,"Moors, heathland and sclerophyllous vegetation",0.0
1,Mixed forest,"Transitional woodland, shrub",0.374257
1,Mixed forest,"Beaches, dunes, sands",0.0
1,Mixed forest,Inland wetlands,0.0
