epoch,train_loss,val_loss,train_f1,val_f1,train_acc,val_acc,val_prec,val_rec,epoch_time_s
1,0.816657,0.480018,0.160127,0.096732,0.5532,0.783649,0.203725,0.142368,33.05
2,0.304148,0.268853,0.194458,0.203309,0.870168,0.881158,0.36818,0.163443,32.05
3,0.257566,0.254619,0.25985,0.263032,0.887369,0.887684,0.397694,0.214709,46.89
