epoch,batch,n_batches,running_loss,batch_loss,lr,batch_f1,batch_acc,batch_prec
1,1,53,0.681508,0.681508,0.00001000,0.150139,0.561404,0.102541
1,2,53,0.667604,0.653701,0.00001000,0.166077,0.614035,0.159793
1,3,53,0.644849,0.599339,0.00001000,0.160105,0.666667,0.133567
1,4,53,0.627405,0.575072,0.00001000,0.105194,0.709430,0.093812
1,5,53,0.609063,0.535695,0.00001000,0.094755,0.762061,0.142667
1,6,53,0.596968,0.536492,0.00001000,0.111073,0.766447,0.104534
1,7,53,0.584303,0.508315,0.00001000,0.102810,0.790570,0.138908
1,8,53,0.565522,0.434057,0.00001000,0.113934,0.858553,0.169883
1,9,53,0.554628,0.467475,0.00001000,0.077450,0.813596,0.200077
1,10,53,0.542413,0.432475,0.00001000,0.082906,0.843202,0.181704
1,11,53,0.530935,0.416159,0.00001000,0.073956,0.835526,0.140351
1,12,53,0.520466,0.405299,0.00001000,0.130922,0.858553,0.292982
1,13,53,0.509177,0.373718,0.00001000,0.021537,0.857456,0.087719
1,14,53,0.499034,0.367173,0.00001000,0.046122,0.865132,0.153509
1,15,53,0.488373,0.339120,0.00001000,0.019361,0.867325,0.105263
1,16,53,0.479728,0.350048,0.00001000,0.043518,0.871710,0.126316
1,17,53,0.473941,0.381348,0.00001000,0.011204,0.844298,0.028070
1,18,53,0.467717,0.361913,0.00001000,0.043185,0.855263,0.106275
1,19,53,0.461782,0.354957,0.00001000,0.066176,0.859649,0.191228
1,20,53,0.455170,0.329543,0.00001000,0.045024,0.866228,0.087719
1,21,53,0.450776,0.362882,0.00001000,0.058772,0.843202,0.157895
1,22,53,0.444240,0.306988,0.00001000,0.053971,0.870614,0.117544
1,23,53,0.440432,0.356647,0.00001000,0.058247,0.836623,0.107827
1,24,53,0.435358,0.318674,0.00001000,0.080844,0.865132,0.138803
1,25,53,0.431750,0.345158,0.00001000,0.104494,0.857456,0.155108
1,26,53,0.426629,0.298596,0.00001000,0.082029,0.870614,0.119231
1,27,53,0.422120,0.304892,0.00001000,0.084585,0.859649,0.138282
1,28,53,0.417853,0.302638,0.00001000,0.156269,0.887061,0.309283
1,29,53,0.414116,0.309495,0.00001000,0.103018,0.859649,0.174801
1,30,53,0.409722,0.282284,0.00001000,0.090797,0.885965,0.154971
1,31,53,0.406858,0.320950,0.00001000,0.113285,0.872807,0.142084
1,32,53,0.404323,0.325713,0.00001000,0.129929,0.869518,0.189066
1,33,53,0.401637,0.315702,0.00001000,0.112671,0.856360,0.250292
1,34,53,0.399078,0.314619,0.00001000,0.108826,0.867325,0.131140
1,35,53,0.396016,0.291910,0.00001000,0.120416,0.882675,0.157310
1,36,53,0.392808,0.280522,0.00001000,0.124223,0.883772,0.168421
1,37,53,0.390396,0.303580,0.00001000,0.150961,0.887061,0.210317
1,38,53,0.387729,0.289030,0.00001000,0.155940,0.882675,0.275074
1,39,53,0.385436,0.298322,0.00001000,0.119013,0.870614,0.168421
1,40,53,0.382501,0.268044,0.00001000,0.143460,0.890351,0.221126
1,41,53,0.380541,0.302112,0.00001000,0.119358,0.862939,0.176692
1,42,53,0.378395,0.290407,0.00001000,0.123319,0.873904,0.223977
1,43,53,0.376419,0.293439,0.00001000,0.136721,0.872807,0.214220
1,44,53,0.375349,0.329345,0.00001000,0.130837,0.864035,0.204992
1,45,53,0.372869,0.263757,0.00001000,0.134221,0.887061,0.193233
1,46,53,0.371619,0.315351,0.00001000,0.181570,0.873903,0.300877
1,47,53,0.369879,0.289870,0.00001000,0.147605,0.865132,0.197446
1,48,53,0.368089,0.283956,0.00001000,0.152296,0.860746,0.217058
1,49,53,0.367414,0.335012,0.00001000,0.101427,0.855263,0.139933
1,50,53,0.365936,0.293508,0.00001000,0.174824,0.872807,0.209393
1,51,53,0.363773,0.255593,0.00001000,0.158432,0.884868,0.213604
1,52,53,0.362841,0.315329,0.00001000,0.132282,0.861842,0.189655
1,53,53,0.361231,0.277487,0.00001000,0.131579,0.842105,0.210526
2,1,53,0.329570,0.329570,0.00010000,0.135441,0.847588,0.186823
2,2,53,0.301908,0.274245,0.00010000,0.198360,0.880482,0.243296
2,3,53,0.304315,0.309131,0.00010000,0.195966,0.876096,0.245033
2,4,53,0.292163,0.255706,0.00010000,0.147998,0.888158,0.278289
2,5,53,0.293549,0.299094,0.00010000,0.122497,0.878289,0.263158
2,6,53,0.284590,0.239795,0.00010000,0.158171,0.905702,0.216241
2,7,53,0.285589,0.291584,0.00010000,0.192049,0.871711,0.305180
2,8,53,0.281437,0.252370,0.00010000,0.232604,0.890351,0.302798
2,9,53,0.278905,0.258651,0.00010000,0.283060,0.900219,0.397099
2,10,53,0.275015,0.240003,0.00010000,0.253759,0.896930,0.301320
2,11,53,0.278281,0.310939,0.00010000,0.224523,0.860746,0.345885
2,12,53,0.278879,0.285460,0.00010000,0.226933,0.869518,0.301270
2,13,53,0.276584,0.249036,0.00010000,0.295098,0.884868,0.338005
2,14,53,0.278822,0.307925,0.00010000,0.274807,0.861842,0.275711
2,15,53,0.280505,0.304057,0.00010000,0.269138,0.865132,0.274083
2,16,53,0.278636,0.250614,0.00010000,0.253149,0.895833,0.346671
2,17,53,0.278279,0.272567,0.00010000,0.193705,0.879386,0.278070
2,18,53,0.277132,0.257621,0.00010000,0.212661,0.887061,0.309766
2,19,53,0.276347,0.262224,0.00010000,0.213531,0.890351,0.286854
2,20,53,0.274890,0.247200,0.00010000,0.264099,0.892544,0.340683
2,21,53,0.274601,0.268821,0.00010000,0.234591,0.881579,0.402880
2,22,53,0.273869,0.258501,0.00010000,0.191909,0.890351,0.271805
2,23,53,0.271853,0.227503,0.00010000,0.232972,0.888158,0.320335
2,24,53,0.271465,0.262547,0.00010000,0.279238,0.888158,0.394319
2,25,53,0.271614,0.275175,0.00010000,0.288507,0.879386,0.375377
2,26,53,0.269949,0.228338,0.00010000,0.320879,0.902412,0.368264
2,27,53,0.268969,0.243471,0.00010000,0.297814,0.899123,0.382559
2,28,53,0.269195,0.275300,0.00010000,0.262596,0.878289,0.333304
2,29,53,0.267745,0.227156,0.00010000,0.260626,0.894737,0.345124
2,30,53,0.268860,0.301194,0.00010000,0.254008,0.865132,0.393421
2,31,53,0.267262,0.219324,0.00010000,0.326192,0.910088,0.360745
2,32,53,0.266991,0.258593,0.00010000,0.356071,0.890351,0.408570
2,33,53,0.266129,0.238535,0.00010000,0.320591,0.899123,0.354666
2,34,53,0.265955,0.260225,0.00010000,0.279333,0.896930,0.364356
2,35,53,0.265881,0.263354,0.00010000,0.248146,0.901316,0.353947
2,36,53,0.265050,0.235975,0.00010000,0.208399,0.895833,0.291700
2,37,53,0.264510,0.245076,0.00010000,0.228339,0.889254,0.316219
2,38,53,0.264177,0.251835,0.00010000,0.263662,0.893640,0.382137
2,39,53,0.262926,0.215413,0.00010000,0.225413,0.899123,0.264418
2,40,53,0.261318,0.198572,0.00010000,0.290858,0.921053,0.354610
2,41,53,0.260953,0.246354,0.00010000,0.217105,0.888158,0.312600
2,42,53,0.260294,0.233309,0.00010000,0.331537,0.901316,0.462448
2,43,53,0.259802,0.239119,0.00010000,0.310683,0.898026,0.368564
2,44,53,0.259004,0.224681,0.00010000,0.241839,0.887061,0.398496
2,45,53,0.258630,0.242165,0.00010000,0.292366,0.902412,0.376504
2,46,53,0.257725,0.217008,0.00010000,0.275109,0.900219,0.351625
2,47,53,0.256475,0.198989,0.00010000,0.346044,0.910088,0.451720
2,48,53,0.256215,0.243980,0.00010000,0.311457,0.892544,0.422407
2,49,53,0.255303,0.211542,0.00010000,0.393297,0.905702,0.418652
2,50,53,0.254885,0.234407,0.00010000,0.281269,0.890351,0.359187
2,51,53,0.253943,0.206813,0.00010000,0.353374,0.914474,0.472222
2,52,53,0.253293,0.220193,0.00010000,0.276199,0.898026,0.368133
2,53,53,0.253455,0.261871,0.00010000,0.122807,0.881579,0.131579
3,1,53,0.279421,0.279421,0.00009876,0.277135,0.882675,0.416663
3,2,53,0.254802,0.230183,0.00009876,0.279946,0.898026,0.415605
3,3,53,0.245872,0.228012,0.00009876,0.350991,0.899123,0.458612
3,4,53,0.235136,0.202927,0.00009876,0.370416,0.918860,0.453425
3,5,53,0.231335,0.216134,0.00009876,0.383637,0.913377,0.427759
3,6,53,0.235296,0.255096,0.00009876,0.370999,0.883772,0.437186
3,7,53,0.237296,0.249300,0.00009876,0.326643,0.882675,0.403086
3,8,53,0.237802,0.241341,0.00009876,0.342402,0.891447,0.414699
3,9,53,0.231265,0.178972,0.00009876,0.377684,0.924342,0.485797
3,10,53,0.227396,0.192570,0.00009876,0.337969,0.918860,0.385825
3,11,53,0.223996,0.189997,0.00009876,0.369431,0.918860,0.447843
3,12,53,0.227737,0.268895,0.00009876,0.322167,0.893640,0.446300
3,13,53,0.231504,0.276709,0.00009876,0.311681,0.887061,0.431156
3,14,53,0.232486,0.245250,0.00009876,0.280328,0.896930,0.304647
3,15,53,0.229939,0.194280,0.00009876,0.296044,0.914474,0.363492
3,16,53,0.232641,0.273165,0.00009876,0.330501,0.894737,0.428401
3,17,53,0.230346,0.193631,0.00009876,0.332059,0.916667,0.384196
3,18,53,0.228762,0.201834,0.00009876,0.360824,0.917763,0.479576
3,19,53,0.228683,0.227270,0.00009876,0.289472,0.898026,0.331849
3,20,53,0.228040,0.215818,0.00009876,0.351074,0.918860,0.482046
3,21,53,0.227136,0.209062,0.00009876,0.329270,0.906798,0.389773
3,22,53,0.226948,0.222993,0.00009876,0.310501,0.893640,0.388841
3,23,53,0.226208,0.209924,0.00009876,0.360097,0.913377,0.471815
3,24,53,0.226523,0.233758,0.00009876,0.360496,0.891447,0.473938
3,25,53,0.226959,0.237428,0.00009876,0.310691,0.894737,0.384735
3,26,53,0.228121,0.257171,0.00009876,0.355392,0.884868,0.407193
3,27,53,0.226507,0.184555,0.00009876,0.465149,0.922149,0.510935
3,28,53,0.225889,0.209186,0.00009876,0.372049,0.915570,0.494630
3,29,53,0.225499,0.214590,0.00009876,0.451469,0.917763,0.481412
3,30,53,0.225918,0.238064,0.00009876,0.350750,0.895833,0.543889
3,31,53,0.227168,0.264673,0.00009876,0.352657,0.883772,0.446063
3,32,53,0.227097,0.224895,0.00009876,0.367664,0.906798,0.447690
3,33,53,0.227741,0.248337,0.00009876,0.361941,0.889254,0.456017
3,34,53,0.226168,0.174264,0.00009876,0.416632,0.926535,0.487057
3,35,53,0.224762,0.176976,0.00009876,0.382150,0.927632,0.409370
3,36,53,0.225208,0.240806,0.00009876,0.322346,0.894737,0.377313
3,37,53,0.224660,0.204931,0.00009876,0.371272,0.919956,0.475627
3,38,53,0.225309,0.249328,0.00009876,0.345813,0.899123,0.420175
3,39,53,0.225126,0.218186,0.00009876,0.312466,0.895833,0.407656
3,40,53,0.224389,0.195642,0.00009876,0.364712,0.916667,0.442105
3,41,53,0.223872,0.203193,0.00009876,0.434656,0.916667,0.512207
3,42,53,0.223263,0.198262,0.00009876,0.338792,0.913377,0.435668
3,43,53,0.223388,0.228635,0.00009876,0.353326,0.901316,0.394378
3,44,53,0.223584,0.232048,0.00009876,0.396468,0.899123,0.541190
3,45,53,0.222539,0.176540,0.00009876,0.455964,0.930921,0.549214
3,46,53,0.222345,0.213606,0.00009876,0.420126,0.908991,0.451643
3,47,53,0.221702,0.192112,0.00009876,0.431162,0.918860,0.484206
3,48,53,0.220684,0.172841,0.00009876,0.381549,0.925439,0.464437
3,49,53,0.221022,0.237245,0.00009876,0.395461,0.894737,0.511408
3,50,53,0.220751,0.207486,0.00009876,0.379248,0.907895,0.539850
3,51,53,0.220530,0.209471,0.00009876,0.370886,0.902412,0.485562
3,52,53,0.219811,0.183145,0.00009876,0.417667,0.914474,0.508931
3,53,53,0.219938,0.226540,0.00009876,0.208772,0.921053,0.219298
4,1,53,0.200834,0.200834,0.00009510,0.409818,0.906798,0.486511
4,2,53,0.192457,0.184081,0.00009510,0.377144,0.925439,0.421504
4,3,53,0.187652,0.178041,0.00009510,0.397676,0.934211,0.500748
4,4,53,0.188159,0.189681,0.00009510,0.321790,0.923246,0.355263
4,5,53,0.199391,0.244320,0.00009510,0.365472,0.905702,0.399057
4,6,53,0.196137,0.179864,0.00009510,0.356993,0.921053,0.400565
4,7,53,0.197304,0.204308,0.00009510,0.408555,0.904605,0.495565
4,8,53,0.199981,0.218719,0.00009510,0.394539,0.907895,0.437515
4,9,53,0.196486,0.168526,0.00009510,0.457018,0.929825,0.528939
4,10,53,0.195885,0.190477,0.00009510,0.422483,0.923246,0.552784
4,11,53,0.197216,0.210523,0.00009510,0.444188,0.913377,0.505470
4,12,53,0.196004,0.182671,0.00009510,0.421143,0.922149,0.463162
4,13,53,0.197537,0.215940,0.00009510,0.347726,0.915570,0.404826
4,14,53,0.198815,0.215424,0.00009510,0.402052,0.911184,0.486132
4,15,53,0.195737,0.152643,0.00009510,0.441246,0.941886,0.494822
4,16,53,0.196951,0.215171,0.00009510,0.461709,0.907895,0.562905
4,17,53,0.198187,0.217959,0.00009510,0.470509,0.911184,0.595621
4,18,53,0.197894,0.192903,0.00009510,0.351868,0.914474,0.389543
4,19,53,0.196292,0.167456,0.00009510,0.397072,0.925439,0.463509
4,20,53,0.195585,0.182169,0.00009510,0.422443,0.919956,0.484373
4,21,53,0.197470,0.235156,0.00009510,0.409766,0.905702,0.445790
4,22,53,0.197630,0.200997,0.00009510,0.412276,0.927632,0.486443
4,23,53,0.196278,0.166537,0.00009510,0.348547,0.924342,0.370821
4,24,53,0.197612,0.228291,0.00009510,0.363393,0.910088,0.428132
4,25,53,0.198053,0.208643,0.00009510,0.388728,0.914474,0.448526
4,26,53,0.198016,0.197083,0.00009510,0.401192,0.921053,0.493292
4,27,53,0.197378,0.180790,0.00009510,0.416219,0.922149,0.492800
4,28,53,0.197394,0.197836,0.00009510,0.375295,0.916667,0.428835
4,29,53,0.197350,0.196103,0.00009510,0.390327,0.913377,0.471064
4,30,53,0.197254,0.194471,0.00009510,0.415282,0.911184,0.505949
4,31,53,0.198114,0.223918,0.00009510,0.375440,0.908991,0.442098
4,32,53,0.198084,0.197141,0.00009510,0.423564,0.924342,0.508005
4,33,53,0.198076,0.197824,0.00009510,0.366952,0.915570,0.388889
4,34,53,0.197347,0.173310,0.00009510,0.481452,0.930921,0.526139
4,35,53,0.196518,0.168314,0.00009510,0.445428,0.926535,0.527214
4,36,53,0.196461,0.194480,0.00009510,0.453847,0.922149,0.590059
4,37,53,0.196459,0.196370,0.00009510,0.453887,0.914474,0.507677
4,38,53,0.196594,0.201581,0.00009510,0.450462,0.912281,0.521857
4,39,53,0.196374,0.188022,0.00009510,0.392447,0.917763,0.551311
4,40,53,0.196618,0.206160,0.00009510,0.409958,0.893640,0.496178
4,41,53,0.196718,0.200693,0.00009510,0.420761,0.905702,0.500720
4,42,53,0.196757,0.198365,0.00009510,0.363696,0.911184,0.449860
4,43,53,0.196442,0.183197,0.00009510,0.412939,0.925439,0.521915
4,44,53,0.196717,0.208574,0.00009510,0.424832,0.908991,0.576109
4,45,53,0.196890,0.204479,0.00009510,0.414975,0.911184,0.508810
4,46,53,0.197098,0.206476,0.00009510,0.404549,0.913377,0.510009
4,47,53,0.196632,0.175185,0.00009510,0.508911,0.929825,0.558410
4,48,53,0.196818,0.205579,0.00009510,0.425831,0.910088,0.503143
4,49,53,0.196887,0.200158,0.00009510,0.498367,0.922149,0.583171
4,50,53,0.196916,0.198369,0.00009510,0.410042,0.913377,0.442471
4,51,53,0.196566,0.179032,0.00009510,0.375154,0.924342,0.423408
4,52,53,0.196287,0.182079,0.00009510,0.441029,0.916667,0.524082
4,53,53,0.196137,0.188355,0.00009510,0.132832,0.907895,0.118421
5,1,53,0.211115,0.211115,0.00008920,0.356293,0.906798,0.423430
5,2,53,0.212665,0.214215,0.00008920,0.494581,0.917763,0.572131
5,3,53,0.210259,0.205448,0.00008920,0.470093,0.912281,0.629857
5,4,53,0.198287,0.162369,0.00008920,0.446549,0.933114,0.507740
5,5,53,0.190421,0.158956,0.00008920,0.441858,0.924342,0.527851
5,6,53,0.191999,0.199891,0.00008920,0.473472,0.910088,0.529117
5,7,53,0.188286,0.166005,0.00008920,0.445871,0.927632,0.469142
5,8,53,0.189385,0.197078,0.00008920,0.476907,0.921053,0.542314
5,9,53,0.191028,0.204176,0.00008920,0.444403,0.914474,0.564958
5,10,53,0.188080,0.161544,0.00008920,0.393469,0.936404,0.469976
5,11,53,0.189451,0.203162,0.00008920,0.419082,0.911184,0.502162
5,12,53,0.187845,0.170176,0.00008920,0.501401,0.926535,0.552412
5,13,53,0.184394,0.142989,0.00008920,0.446571,0.947368,0.459727
5,14,53,0.186469,0.213435,0.00008920,0.403439,0.907895,0.483314
5,15,53,0.186696,0.189877,0.00008920,0.453370,0.929825,0.534503
5,16,53,0.186272,0.179907,0.00008920,0.463525,0.929825,0.494177
5,17,53,0.184969,0.164135,0.00008920,0.477134,0.933114,0.571320
5,18,53,0.185972,0.203017,0.00008920,0.553886,0.912281,0.604837
5,19,53,0.182676,0.123357,0.00008920,0.467734,0.948465,0.548026
5,20,53,0.181869,0.166535,0.00008920,0.532122,0.926535,0.598513
5,21,53,0.181091,0.165515,0.00008920,0.484554,0.933114,0.590124
5,22,53,0.180471,0.167459,0.00008920,0.446633,0.923246,0.446391
5,23,53,0.180250,0.175380,0.00008920,0.459880,0.934211,0.560192
5,24,53,0.180513,0.186570,0.00008920,0.389214,0.918860,0.461893
5,25,53,0.180906,0.190345,0.00008920,0.460131,0.923246,0.492185
5,26,53,0.182258,0.216048,0.00008920,0.438917,0.912281,0.582088
5,27,53,0.181992,0.175090,0.00008920,0.474531,0.933114,0.562981
5,28,53,0.181506,0.168379,0.00008920,0.517627,0.927632,0.597750
5,29,53,0.180840,0.162197,0.00008920,0.488890,0.930921,0.526208
5,30,53,0.181707,0.206838,0.00008920,0.416148,0.913377,0.477463
5,31,53,0.182401,0.203222,0.00008920,0.388670,0.902412,0.436043
5,32,53,0.182601,0.188788,0.00008920,0.500507,0.915570,0.572362
5,33,53,0.184245,0.236850,0.00008920,0.428627,0.890351,0.484511
5,34,53,0.183286,0.151642,0.00008920,0.463686,0.936404,0.535817
5,35,53,0.182982,0.172659,0.00008920,0.503818,0.926535,0.611360
5,36,53,0.182373,0.161042,0.00008920,0.458561,0.923246,0.548252
