epoch,train_loss,val_loss,train_f1,val_f1,train_acc,val_acc,val_prec,val_rec,epoch_time_s
1,0.368617,0.28771,0.157585,0.160214,0.834042,0.876667,0.328936,0.141047,35.8
2,0.255303,0.245166,0.278968,0.312183,0.889684,0.893719,0.497717,0.256858,36.0
3,0.231323,0.253663,0.354916,0.366109,0.900947,0.885123,0.485568,0.355844,37.56
4,0.213238,0.230823,0.418009,0.399533,0.908568,0.900596,0.527021,0.360648,36.87
5,0.188531,0.209876,0.464324,0.472254,0.920274,0.910912,0.630933,0.430279,37.01
6,0.173504,0.216431,0.557325,0.470242,0.927811,0.908351,0.581749,0.433951,38.34
7,0.162325,0.208156,0.598156,0.502939,0.933895,0.915368,0.624084,0.459978,36.17
8,0.140936,0.209481,0.678644,0.501837,0.941621,0.914526,0.609887,0.4488,35.41
9,0.126344,0.224652,0.714511,0.487548,0.946947,0.909228,0.582794,0.453947,36.93
10,0.11089,0.219093,0.756127,0.512246,0.955095,0.914947,0.586975,0.469539,36.06
11,0.097917,0.234166,0.799518,0.508289,0.961095,0.910105,0.578183,0.474667,37.33
12,0.085675,0.231336,0.818664,0.521549,0.967747,0.913509,0.584993,0.480978,37.81
13,0.078705,0.235091,0.830278,0.521184,0.97059,0.913123,0.583762,0.484071,37.58
14,0.073067,0.237812,0.840697,0.520932,0.972611,0.91414,0.601066,0.472353,36.28
15,0.066581,0.236786,0.861717,0.527919,0.977011,0.913684,0.590892,0.489815,36.37
