epoch,train_loss,val_loss,train_f1,val_f1,train_acc,val_acc,val_prec,val_rec,epoch_time_s
1,0.361231,0.291744,0.134247,0.148224,0.842337,0.873965,0.272057,0.135074,100.06
2,0.253455,0.247604,0.284088,0.319962,0.889895,0.892947,0.512274,0.272132,110.58
3,0.219938,0.224307,0.385657,0.402451,0.905811,0.900842,0.555009,0.361773,110.53
4,0.196137,0.226507,0.444714,0.435126,0.917116,0.904386,0.608012,0.393019,110.64
5,0.176715,0.215916,0.523988,0.483868,0.925453,0.904211,0.575198,0.466392,110.03
6,0.161965,0.209978,0.581262,0.50113,0.931642,0.910948,0.643862,0.458908,110.29
7,0.15125,0.20729,0.640033,0.531779,0.939811,0.914947,0.646471,0.493033,110.76
8,0.130366,0.21321,0.697548,0.519874,0.946484,0.912386,0.639721,0.474016,110.74
9,0.115411,0.220536,0.743182,0.528391,0.952695,0.914105,0.640372,0.4795,110.24
10,0.101608,0.229253,0.779977,0.54715,0.958947,0.912386,0.627534,0.503445,110.8
11,0.089225,0.229855,0.805247,0.528533,0.965284,0.911193,0.614427,0.491991,110.7
12,0.079287,0.235855,0.80733,0.524835,0.969916,0.912807,0.635947,0.478462,110.12
13,0.073029,0.23554,0.836766,0.538224,0.973074,0.91414,0.625361,0.500277,110.36
14,0.066309,0.239487,0.843244,0.529715,0.977284,0.913228,0.632818,0.482487,110.3
15,0.060423,0.237882,0.865194,0.526875,0.979242,0.913193,0.627578,0.484087,110.13
