epoch,train_loss,val_loss,train_f1,val_f1,train_acc,val_acc,val_prec,val_rec,epoch_time_s
1,0.38018,0.290778,0.151774,0.153242,0.824168,0.874316,0.254278,0.130028,102.89
2,0.258722,0.266955,0.255728,0.296396,0.8876,0.88414,0.458918,0.257254,105.37
3,0.237892,0.24365,0.343498,0.36349,0.898211,0.891088,0.499929,0.335466,105.55
4,0.210184,0.222631,0.414445,0.398666,0.911242,0.903579,0.537084,0.355652,106.09
5,0.189457,0.229671,0.467744,0.436003,0.91939,0.897123,0.552637,0.423356,105.98
6,0.178683,0.207904,0.520002,0.467733,0.923853,0.913193,0.592774,0.434365,106.19
7,0.168583,0.2151,0.577287,0.458031,0.929853,0.911158,0.588739,0.420341,105.54
8,0.149538,0.203586,0.635195,0.538793,0.937116,0.915263,0.662939,0.483102,105.34
9,0.134886,0.21939,0.684853,0.508182,0.943347,0.912526,0.683828,0.454365,105.33
10,0.119752,0.213788,0.737068,0.543729,0.950821,0.915123,0.635173,0.508916,105.71
11,0.105372,0.218954,0.780093,0.529757,0.958274,0.912912,0.636453,0.487177,105.85
12,0.093205,0.225549,0.773084,0.566968,0.963263,0.914281,0.65399,0.518162,105.75
13,0.083668,0.224706,0.801361,0.562533,0.968589,0.916105,0.651865,0.513166,105.9
14,0.078515,0.229913,0.835537,0.551154,0.970947,0.915228,0.654453,0.495258,105.96
15,0.071733,0.229666,0.83955,0.57027,0.973663,0.915754,0.65134,0.522353,105.95
