epoch,true_class,pred_class,value
1,Land principally occupied by agriculture,Urban fabric,0.0
1,Land principally occupied by agriculture,Industrial or commercial units,0.0
1,Land principally occupied by agriculture,Arable land,0.0
1,Land principally occupied by agriculture,Permanent crops,0.0
1,Land principally occupied by agriculture,Pastures,0.0
1,Land principally occupied by agriculture,Complex cultivation patterns,0.0
1,Land principally occupied by agriculture,Land principally occupied by agriculture,0.0
1,Land principally occupied by agriculture,Agro-forestry areas,0.0
1,Land principally occupied by agriculture,Broad-leaved forest,0.0
1,Land principally occupied by agriculture,Coniferous forest,0.0
1,Land principally occupied by agriculture,Mixed forest,0.0
1,Land principally occupied by agriculture,Natural grassland and sparsely vegetated areas,0.0
1,Land principally occupied by agriculture,"Moors, heathland and sclerophyllous vegetation",0.0
1,Land principally occupied by agriculture,"Transitional woodland, shrub",0.0
1,Land principally occupied by agriculture,"Beaches, dunes, sands",0.0
1,Land principally occupied by agriculture,Inland wetlands,0.0
1,Land principally occupied by agriculture,Coastal wetlands,0.0
1,Land principally occupied by agriculture,Inland waters,0.0
1,Land principally occupied by agriculture,Marine waters,0.0
1,Agro-forestry areas,Urban fabric,0.417582
1,Agro-forestry areas,Industrial or commercial units,0.692308
1,Agro-forestry areas,Arable land,0.978022
1,Agro-forestry areas,Permanent crops,0.043956
1,Agro-forestry areas,Pastures,0.428571
1,Agro-forestry areas,Complex cultivation patterns,0.0
1,Agro-forestry areas,Land principally occupied by agriculture,0.010989
1,Agro-forestry areas,Agro-forestry areas,0.813187
1,Agro-forestry areas,Broad-leaved forest,0.076923
1,Agro-forestry areas,Coniferous forest,0.384615
1,Agro-forestry areas,Mixed forest,0.142857
1,Agro-forestry areas,Natural grassland and sparsely vegetated areas,0.032967
1,Agro-forestry areas,"Moors, heathland and sclerophyllous vegetation",0.197802
1,Agro-forestry areas,"Transitional woodland, shrub",0.736264
1,Agro-forestry areas,"Beaches, dunes, sands",0.021978
1,Agro-forestry areas,Inland wetlands,0.021978
1,Agro-forestry areas,Coastal wetlands,0.010989
1,Agro-forestry areas,Inland waters,0.56044
1,Agro-forestry areas,Marine waters,0.032967
1,Broad-leaved forest,Urban fabric,0.262443
1,Broad-leaved forest,Industrial or commercial units,0.552036
1,Broad-leaved forest,Arable land,0.938914
1,Broad-leaved forest,Permanent crops,0.031674
1,Broad-leaved forest,Pastures,0.423077
1,Broad-leaved forest,Complex cultivation patterns,0.011312
1,Broad-leaved forest,Land principally occupied by agriculture,0.011312
1,Broad-leaved forest,Agro-forestry areas,0.660633
1,Broad-leaved forest,Broad-leaved forest,0.047511
1,Broad-leaved forest,Coniferous forest,0.522624
1,Broad-leaved forest,Mixed forest,0.350679
1,Broad-leaved forest,Natural grassland and sparsely vegetated areas,0.045249
1,Broad-leaved forest,"Moors, heathland and sclerophyllous vegetation",0.095023
1,Broad-leaved forest,"Transitional woodland, shrub",0.690045
1,Broad-leaved forest,"Beaches, dunes, sands",0.033937
1,Broad-leaved forest,Inland wetlands,0.013575
1,Broad-leaved forest,Coastal wetlands,0.011312
1,Broad-leaved forest,Inland waters,0.454751
1,Broad-leaved forest,Marine waters,0.076923
1,Coniferous forest,Urban fabric,0.186475
1,Coniferous forest,Industrial or commercial units,0.495902
1,Coniferous forest,Arable land,0.963115
1,Coniferous forest,Permanent crops,0.047131
1,Coniferous forest,Pastures,0.381148
1,Coniferous forest,Complex cultivation patterns,0.004098
1,Coniferous forest,Land principally occupied by agriculture,0.004098
1,Coniferous forest,Agro-forestry areas,0.625
1,Coniferous forest,Broad-leaved forest,0.034836
1,Coniferous forest,Coniferous forest,0.633197
1,Coniferous forest,Mixed forest,0.385246
1,Coniferous forest,Natural grassland and sparsely vegetated areas,0.106557
1,Coniferous forest,"Moors, heathland and sclerophyllous vegetation",0.081967
1,Coniferous forest,"Transitional woodland, shrub",0.633197
1,Coniferous forest,"Beaches, dunes, sands",0.026639
1,Coniferous forest,Inland wetlands,0.012295
1,Coniferous forest,Coastal wetlands,0.012295
1,Coniferous forest,Inland waters,0.418033
1,Coniferous forest,Marine waters,0.094262
1,Mixed forest,Urban fabric,0.194059
1,Mixed forest,Industrial or commercial units,0.49505
1,Mixed forest,Arable land,0.968317
1,Mixed forest,Permanent crops,0.039604
1,Mixed forest,Pastures,0.366337
1,Mixed forest,Complex cultivation patterns,0.00198
1,Mixed forest,Land principally occupied by agriculture,0.00198
1,Mixed forest,Agro-forestry areas,0.615842
1,Mixed forest,Broad-leaved forest,0.039604
1,Mixed forest,Coniferous forest,0.661386
1,Mixed forest,Mixed forest,0.39604
1,Mixed forest,Natural grassland and sparsely vegetated areas,0.085149
1,Mixed forest,"Moors, heathland and sclerophyllous vegetation",0.067327
1,Mixed forest,"Transitional woodland, shrub",0.611881
1,Mixed forest,"Beaches, dunes, sands",0.025743
1,Mixed forest,Inland wetlands,0.013861
1,Mixed forest,Coastal wetlands,0.007921
1,Mixed forest,Inland waters,0.405941
1,Mixed forest,Marine waters,0.089109
1,Natural grassland and sparsely vegetated areas,Urban fabric,0.421053
1,Natural grassland and sparsely vegetated areas,Industrial or commercial units,0.631579
1,Natural grassland and sparsely vegetated areas,Arable land,0.789474
1,Natural grassland and sparsely vegetated areas,Permanent crops,0.026316
1,Natural grassland and sparsely vegetated areas,Pastures,0.447368
1,Natural grassland and sparsely vegetated areas,Complex cultivation patterns,0.0
1,Natural grassland and sparsely vegetated areas,Land principally occupied by agriculture,0.0
1,Natural grassland and sparsely vegetated areas,Agro-forestry areas,0.421053
1,Natural grassland and sparsely vegetated areas,Broad-leaved forest,0.105263
1,Natural grassland and sparsely vegetated areas,Coniferous forest,0.5
1,Natural grassland and sparsely vegetated areas,Mixed forest,0.394737
1,Natural grassland and sparsely vegetated areas,Natural grassland and sparsely vegetated areas,0.078947
1,Natural grassland and sparsely vegetated areas,"Moors, heathland and sclerophyllous vegetation",0.105263
1,Natural grassland and sparsely vegetated areas,"Transitional woodland, shrub",0.842105
1,Natural grassland and sparsely vegetated areas,"Beaches, dunes, sands",0.052632
1,Natural grassland and sparsely vegetated areas,Inland wetlands,0.0
1,Natural grassland and sparsely vegetated areas,Coastal wetlands,0.052632
1,Natural grassland and sparsely vegetated areas,Inland waters,0.552632
1,Natural grassland and sparsely vegetated areas,Marine waters,0.052632
1,"Moors, heathland and sclerophyllous vegetation",Urban fabric,0.282609
1,"Moors, heathland and sclerophyllous vegetation",Industrial or commercial units,0.413043
1,"Moors, heathland and sclerophyllous vegetation",Arable land,0.913043
1,"Moors, heathland and sclerophyllous vegetation",Permanent crops,0.021739
1,"Moors, heathland and sclerophyllous vegetation",Pastures,0.434783
1,"Moors, heathland and sclerophyllous vegetation",Complex cultivation patterns,0.0
1,"Moors, heathland and sclerophyllous vegetation",Land principally occupied by agriculture,0.0
1,"Moors, heathland and sclerophyllous vegetation",Agro-forestry areas,0.608696
1,"Moors, heathland and sclerophyllous vegetation",Broad-leaved forest,0.043478
1,"Moors, heathland and sclerophyllous vegetation",Coniferous forest,0.456522
1,"Moors, heathland and sclerophyllous vegetation",Mixed forest,0.434783
1,"Moors, heathland and sclerophyllous vegetation",Natural grassland and sparsely vegetated areas,0.043478
1,"Moors, heathland and sclerophyllous vegetation","Moors, heathland and sclerophyllous vegetation",0.173913
1,"Moors, heathland and sclerophyllous vegetation","Transitional woodland, shrub",0.76087
1,"Moors, heathland and sclerophyllous vegetation","Beaches, dunes, sands",0.043478
1,"Moors, heathland and sclerophyllous vegetation",Inland wetlands,0.0
1,"Moors, heathland and sclerophyllous vegetation",Coastal wetlands,0.021739
1,"Moors, heathland and sclerophyllous vegetation",Inland waters,0.543478
1,"Moors, heathland and sclerophyllous vegetation",Marine waters,0.021739
1,"Transitional woodland, shrub",Urban fabric,0.273663
1,"Transitional woodland, shrub",Industrial or commercial units,0.528807
1,"Transitional woodland, shrub",Arable land,0.958848
1,"Transitional woodland, shrub",Permanent crops,0.039095
1,"Transitional woodland, shrub",Pastures,0.395062
1,"Transitional woodland, shrub",Complex cultivation patterns,0.004115
1,"Transitional woodland, shrub",Land principally occupied by agriculture,0.010288
1,"Transitional woodland, shrub",Agro-forestry areas,0.668724
1,"Transitional woodland, shrub",Broad-leaved forest,0.05144
1,"Transitional woodland, shrub",Coniferous forest,0.557613
1,"Transitional woodland, shrub",Mixed forest,0.325103
1,"Transitional woodland, shrub",Natural grassland and sparsely vegetated areas,0.080247
1,"Transitional woodland, shrub","Moors, heathland and sclerophyllous vegetation",0.104938
1,"Transitional woodland, shrub","Transitional woodland, shrub",0.720165
1,"Transitional woodland, shrub","Beaches, dunes, sands",0.039095
1,"Transitional woodland, shrub",Inland wetlands,0.006173
1,"Transitional woodland, shrub",Coastal wetlands,0.014403
1,"Transitional woodland, shrub",Inland waters,0.442387
1,"Transitional woodland, shrub",Marine waters,0.080247
1,"Beaches, dunes, sands",Urban fabric,0.5
1,"Beaches, dunes, sands",Industrial or commercial units,0.5
1,"Beaches, dunes, sands",Arable land,0.833333
1,"Beaches, dunes, sands",Permanent crops,0.166667
1,"Beaches, dunes, sands",Pastures,0.333333
1,"Beaches, dunes, sands",Complex cultivation patterns,0.0
1,"Beaches, dunes, sands",Land principally occupied by agriculture,0.0
1,"Beaches, dunes, sands",Agro-forestry areas,0.666667
1,"Beaches, dunes, sands",Broad-leaved forest,0.166667
1,"Beaches, dunes, sands",Coniferous forest,0.666667
1,"Beaches, dunes, sands",Mixed forest,0.333333
1,"Beaches, dunes, sands",Natural grassland and sparsely vegetated areas,0.166667
1,"Beaches, dunes, sands","Moors, heathland and sclerophyllous vegetation",0.0
1,"Beaches, dunes, sands","Transitional woodland, shrub",0.5
1,"Beaches, dunes, sands","Beaches, dunes, sands",0.166667
1,"Beaches, dunes, sands",Inland wetlands,0.166667
1,"Beaches, dunes, sands",Coastal wetlands,0.0
1,"Beaches, dunes, sands",Inland waters,0.666667
1,"Beaches, dunes, sands",Marine waters,0.166667
1,Inland wetlands,Urban fabric,0.238095
1,Inland wetlands,Industrial or commercial units,0.460317
1,Inland wetlands,Arable land,1.0
1,Inland wetlands,Permanent crops,0.047619
1,Inland wetlands,Pastures,0.396825
1,Inland wetlands,Complex cultivation patterns,0.0
1,Inland wetlands,Land principally occupied by agriculture,0.0
1,Inland wetlands,Agro-forestry areas,0.68254
1,Inland wetlands,Broad-leaved forest,0.015873
1,Inland wetlands,Coniferous forest,0.666667
1,Inland wetlands,Mixed forest,0.460317
1,Inland wetlands,Natural grassland and sparsely vegetated areas,0.126984
1,Inland wetlands,"Moors, heathland and sclerophyllous vegetation",0.095238
1,Inland wetlands,"Transitional woodland, shrub",0.68254
1,Inland wetlands,"Beaches, dunes, sands",0.047619
1,Inland wetlands,Inland wetlands,0.0
1,Inland wetlands,Coastal wetlands,0.0
1,Inland wetlands,Inland waters,0.571429
1,Inland wetlands,Marine waters,0.095238
1,Coastal wetlands,Urban fabric,0.2
1,Coastal wetlands,Industrial or commercial units,0.4
1,Coastal wetlands,Arable land,0.9
1,Coastal wetlands,Permanent crops,0.1
1,Coastal wetlands,Pastures,0.5
1,Coastal wetlands,Complex cultivation patterns,0.0
1,Coastal wetlands,Land principally occupied by agriculture,0.0
1,Coastal wetlands,Agro-forestry areas,0.9
1,Coastal wetlands,Broad-leaved forest,0.2
1,Coastal wetlands,Coniferous forest,0.3
1,Coastal wetlands,Mixed forest,0.2
1,Coastal wetlands,Natural grassland and sparsely vegetated areas,0.0
1,Coastal wetlands,"Moors, heathland and sclerophyllous vegetation",0.1
1,Coastal wetlands,"Transitional woodland, shrub",0.4
1,Coastal wetlands,"Beaches, dunes, sands",0.0
1,Coastal wetlands,Inland wetlands,0.0
1,Coastal wetlands,Coastal wetlands,0.0
1,Coastal wetlands,Inland waters,0.4
1,Coastal wetlands,Marine waters,0.0
1,Inland waters,Urban fabric,0.252747
1,Inland waters,Industrial or commercial units,0.445055
1,Inland waters,Arable land,0.967033
1,Inland waters,Permanent crops,0.043956
1,Inland waters,Pastures,0.406593
1,Inland waters,Complex cultivation patterns,0.0
1,Inland waters,Land principally occupied by agriculture,0.0
1,Inland waters,Agro-forestry areas,0.648352
1,Inland waters,Broad-leaved forest,0.043956
1,Inland waters,Coniferous forest,0.642857
1,Inland waters,Mixed forest,0.368132
1,Inland waters,Natural grassland and sparsely vegetated areas,0.153846
1,Inland waters,"Moors, heathland and sclerophyllous vegetation",0.071429
1,Inland waters,"Transitional woodland, shrub",0.593407
1,Inland waters,"Beaches, dunes, sands",0.054945
1,Inland waters,Inland wetlands,0.027473
1,Inland waters,Coastal wetlands,0.005495
1,Inland waters,Inland waters,0.43956
1,Inland waters,Marine waters,0.054945
1,Marine waters,Urban fabric,0.760234
1,Marine waters,Industrial or commercial units,0.409357
1,Marine waters,Arable land,0.877193
1,Marine waters,Permanent crops,0.333333
1,Marine waters,Pastures,0.51462
1,Marine waters,Complex cultivation patterns,0.0
1,Marine waters,Land principally occupied by agriculture,0.0
1,Marine waters,Agro-forestry areas,0.935673
1,Marine waters,Broad-leaved forest,0.052632
1,Marine waters,Coniferous forest,0.128655
1,Marine waters,Mixed forest,0.222222
1,Marine waters,Natural grassland and sparsely vegetated areas,0.625731
1,Marine waters,"Moors, heathland and sclerophyllous vegetation",0.017544
1,Marine waters,"Transitional woodland, shrub",0.403509
1,Marine waters,"Beaches, dunes, sands",0.730994
1,Marine waters,Inland wetlands,0.046784
1,Marine waters,Coastal wetlands,0.005848
1,Marine waters,Inland waters,0.847953
1,Marine waters,Marine waters,0.187135
2,Urban fabric,Urban fabric,0.0
2,Urban fabric,Industrial or commercial units,0.0
2,Urban fabric,Arable land,0.123762
2,Urban fabric,Permanent crops,0.014851
2,Urban fabric,Pastures,0.009901
2,Urban fabric,Complex cultivation patterns,0.0
2,Urban fabric,Land principally occupied by agriculture,0.0
2,Urban fabric,Agro-forestry areas,0.0
2,Urban fabric,Broad-leaved forest,0.0
2,Urban fabric,Coniferous forest,0.0
2,Urban fabric,Mixed forest,0.0
2,Urban fabric,Natural grassland and sparsely vegetated areas,0.0
2,Urban fabric,"Moors, heathland and sclerophyllous vegetation",0.0
2,Urban fabric,"Transitional woodland, shrub",0.0
2,Urban fabric,"Beaches, dunes, sands",0.0
2,Urban fabric,Inland wetlands,0.0
2,Urban fabric,Coastal wetlands,0.0
2,Urban fabric,Inland waters,0.0
2,Urban fabric,Marine waters,0.0
2,Industrial or commercial units,Urban fabric,0.0
2,Industrial or commercial units,Industrial or commercial units,0.0
2,Industrial or commercial units,Arable land,0.043478
2,Industrial or commercial units,Permanent crops,0.021739
2,Industrial or commercial units,Pastures,0.0
2,Industrial or commercial units,Complex cultivation patterns,0.0
2,Industrial or commercial units,Land principally occupied by agriculture,0.0
2,Industrial or commercial units,Agro-forestry areas,0.0
2,Industrial or commercial units,Broad-leaved forest,0.0
2,Industrial or commercial units,Coniferous forest,0.0
2,Industrial or commercial units,Mixed forest,0.0
2,Industrial or commercial units,Natural grassland and sparsely vegetated areas,0.0
2,Industrial or commercial units,"Moors, heathland and sclerophyllous vegetation",0.0
2,Industrial or commercial units,"Transitional woodland, shrub",0.0
2,Industrial or commercial units,"Beaches, dunes, sands",0.0
2,Industrial or commercial units,Inland wetlands,0.0
2,Industrial or commercial units,Coastal wetlands,0.0
2,Industrial or commercial units,Inland waters,0.0
2,Industrial or commercial units,Marine waters,0.0
2,Arable land,Urban fabric,0.0
2,Arable land,Industrial or commercial units,0.0
2,Arable land,Arable land,0.160126
2,Arable land,Permanent crops,0.007849
2,Arable land,Pastures,0.010989
2,Arable land,Complex cultivation patterns,0.0
2,Arable land,Land principally occupied by agriculture,0.0
2,Arable land,Agro-forestry areas,0.00157
2,Arable land,Broad-leaved forest,0.0
2,Arable land,Coniferous forest,0.0
2,Arable land,Mixed forest,0.0
2,Arable land,Natural grassland and sparsely vegetated areas,0.0
2,Arable land,"Moors, heathland and sclerophyllous vegetation",0.0
2,Arable land,"Transitional woodland, shrub",0.0
2,Arable land,"Beaches, dunes, sands",0.0
2,Arable land,Inland wetlands,0.0
2,Arable land,Coastal wetlands,0.0
2,Arable land,Inland waters,0.0
2,Arable land,Marine waters,0.0
2,Permanent crops,Urban fabric,0.0
2,Permanent crops,Industrial or commercial units,0.0
2,Permanent crops,Arable land,0.132743
2,Permanent crops,Permanent crops,0.0
2,Permanent crops,Pastures,0.017699
2,Permanent crops,Complex cultivation patterns,0.0
2,Permanent crops,Land principally occupied by agriculture,0.0
2,Permanent crops,Agro-forestry areas,0.0
2,Permanent crops,Broad-leaved forest,0.0
2,Permanent crops,Coniferous forest,0.0
2,Permanent crops,Mixed forest,0.0
2,Permanent crops,Natural grassland and sparsely vegetated areas,0.0
2,Permanent crops,"Moors, heathland and sclerophyllous vegetation",0.0
2,Permanent crops,"Transitional woodland, shrub",0.0
2,Permanent crops,"Beaches, dunes, sands",0.0
2,Permanent crops,Inland wetlands,0.0
2,Permanent crops,Coastal wetlands,0.0
2,Permanent crops,Inland waters,0.0
2,Permanent crops,Marine waters,0.0
2,Pastures,Urban fabric,0.0
2,Pastures,Industrial or commercial units,0.0
2,Pastures,Arable land,0.09571
2,Pastures,Permanent crops,0.0
2,Pastures,Pastures,0.013201
2,Pastures,Complex cultivation patterns,0.0
2,Pastures,Land principally occupied by agriculture,0.0
2,Pastures,Agro-forestry areas,0.0
2,Pastures,Broad-leaved forest,0.0
2,Pastures,Coniferous forest,0.0
2,Pastures,Mixed forest,0.0
2,Pastures,Natural grassland and sparsely vegetated areas,0.0
2,Pastures,"Moors, heathland and sclerophyllous vegetation",0.0
2,Pastures,"Transitional woodland, shrub",0.0
2,Pastures,"Beaches, dunes, sands",0.0
2,Pastures,Inland wetlands,0.0
2,Pastures,Coastal wetlands,0.0
2,Pastures,Inland waters,0.0
2,Pastures,Marine waters,0.0
2,Complex cultivation patterns,Urban fabric,0.0
2,Complex cultivation patterns,Industrial or commercial units,0.0
2,Complex cultivation patterns,Arable land,0.105263
2,Complex cultivation patterns,Permanent crops,0.013158
2,Complex cultivation patterns,Pastures,0.013158
2,Complex cultivation patterns,Complex cultivation patterns,0.0
2,Complex cultivation patterns,Land principally occupied by agriculture,0.0
2,Complex cultivation patterns,Agro-forestry areas,0.003289
2,Complex cultivation patterns,Broad-leaved forest,0.0
2,Complex cultivation patterns,Coniferous forest,0.0
2,Complex cultivation patterns,Mixed forest,0.0
2,Complex cultivation patterns,Natural grassland and sparsely vegetated areas,0.0
2,Complex cultivation patterns,"Moors, heathland and sclerophyllous vegetation",0.0
2,Complex cultivation patterns,"Transitional woodland, shrub",0.006579
2,Complex cultivation patterns,"Beaches, dunes, sands",0.0
2,Complex cultivation patterns,Inland wetlands,0.0
2,Complex cultivation patterns,Coastal wetlands,0.0
2,Complex cultivation patterns,Inland waters,0.0
2,Complex cultivation patterns,Marine waters,0.0
2,Land principally occupied by agriculture,Urban fabric,0.0
2,Land principally occupied by agriculture,Industrial or commercial units,0.0
2,Land principally occupied by agriculture,Arable land,0.0
2,Land principally occupied by agriculture,Permanent crops,0.0
2,Land principally occupied by agriculture,Pastures,0.0
2,Land principally occupied by agriculture,Complex cultivation patterns,0.0
2,Land principally occupied by agriculture,Land principally occupied by agriculture,0.0
2,Land principally occupied by agriculture,Agro-forestry areas,0.0
2,Land principally occupied by agriculture,Broad-leaved forest,0.0
2,Land principally occupied by agriculture,Coniferous forest,0.0
2,Land principally occupied by agriculture,Mixed forest,0.0
2,Land principally occupied by agriculture,Natural grassland and sparsely vegetated areas,0.0
2,Land principally occupied by agriculture,"Moors, heathland and sclerophyllous vegetation",0.0
2,Land principally occupied by agriculture,"Transitional woodland, shrub",0.0
2,Land principally occupied by agriculture,"Beaches, dunes, sands",0.0
2,Land principally occupied by agriculture,Inland wetlands,0.0
2,Land principally occupied by agriculture,Coastal wetlands,0.0
2,Land principally occupied by agriculture,Inland waters,0.0
2,Land principally occupied by agriculture,Marine waters,0.0
2,Agro-forestry areas,Urban fabric,0.0
2,Agro-forestry areas,Industrial or commercial units,0.0
2,Agro-forestry areas,Arable land,0.197802
2,Agro-forestry areas,Permanent crops,0.0
2,Agro-forestry areas,Pastures,0.054945
2,Agro-forestry areas,Complex cultivation patterns,0.0
2,Agro-forestry areas,Land principally occupied by agriculture,0.0
2,Agro-forestry areas,Agro-forestry areas,0.0
2,Agro-forestry areas,Broad-leaved forest,0.0
2,Agro-forestry areas,Coniferous forest,0.0
2,Agro-forestry areas,Mixed forest,0.0
2,Agro-forestry areas,Natural grassland and sparsely vegetated areas,0.0
2,Agro-forestry areas,"Moors, heathland and sclerophyllous vegetation",0.0
2,Agro-forestry areas,"Transitional woodland, shrub",0.0
2,Agro-forestry areas,"Beaches, dunes, sands",0.0
2,Agro-forestry areas,Inland wetlands,0.0
2,Agro-forestry areas,Coastal wetlands,0.0
2,Agro-forestry areas,Inland waters,0.0
2,Agro-forestry areas,Marine waters,0.0
2,Broad-leaved forest,Urban fabric,0.0
2,Broad-leaved forest,Industrial or commercial units,0.0
2,Broad-leaved forest,Arable land,0.099548
2,Broad-leaved forest,Permanent crops,0.004525
2,Broad-leaved forest,Pastures,0.013575
2,Broad-leaved forest,Complex cultivation patterns,0.0
2,Broad-leaved forest,Land principally occupied by agriculture,0.0
2,Broad-leaved forest,Agro-forestry areas,0.0
2,Broad-leaved forest,Broad-leaved forest,0.0
2,Broad-leaved forest,Coniferous forest,0.0
2,Broad-leaved forest,Mixed forest,0.0
2,Broad-leaved forest,Natural grassland and sparsely vegetated areas,0.0
2,Broad-leaved forest,"Moors, heathland and sclerophyllous vegetation",0.0
